
============================================================
  PPO + impala_entity  —  MicroRTS
============================================================
  Exp name:     impala_entity_s3
  Seed:         3
  Architecture: impala_entity (1,371,311 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  100,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      8138
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/impala_entity_s3
  Eval every:   ~10.0M steps (813 updates)
  Eval bots:    RandomBiasedAI, WorkerRush, LightRush, CoacAI, Mayari (10 games each)
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/impala_entity_s3/config.json

  step=   9,000  1 eps: Worke:1L P0  ret=  -8.80  len=  375  WR[warming up...]
  step=   9,240  1 eps: Worke:1L P0  ret=  -5.80  len=  385  WR[warming up...]
  step=  16,632  1 eps: Mayar:1L P0  ret=  -2.80  len=  693  WR[warming up...]
  step=  17,232  1 eps: Light:1L P0  ret=   1.20  len=  718  WR[warming up...]
  step=  17,712  1 eps: CoacA:1L P0  ret=  14.00  len=  738  WR[warming up...]
  step=  17,928  1 eps: Mayar:1L P0  ret=  -7.80  len=  747  WR[warming up...]
  step=  18,072  1 eps: Mayar:1L P0  ret=  -1.80  len=  753  WR[warming up...]
  step=  18,648  1 eps: Mayar:1L P0  ret=  -1.80  len=  777  WR[warming up...]
  step=  19,200  2 eps: CoacA:2L P0  ret=  -4.30  len=  800  WR[warming up...]
  step=  19,416  2 eps: Mayar:2L P0  ret=   4.70  len=  809  WR[warming up...]
  step=  19,560  1 eps: CoacA:1L P0  ret=  10.00  len=  815  WR[warming up...]
  step=  19,608  1 eps: CoacA:1L P0  ret=   0.20  len=  817  WR[warming up...]
  step=  19,632  2 eps: CoacA:2L P0  ret=  10.60  len=  818  WR[warming up...]
  step=  20,160  1 eps: CoacA:1L P0  ret=   5.00  len=  840  WR[warming up...]
  step=  20,280  1 eps: Worke:1L P1  ret=   6.00  len=  460  WR[warming up...]
  step=  20,328  2 eps: Mayar:2L P0  ret=   0.70  len=  847  WR[warming up...]
  step=  20,376  1 eps: CoacA:1L P0  ret=  14.00  len=  849  WR[warming up...]
  step=  20,496  1 eps: Mayar:1L P0  ret=  10.00  len=  854  WR[warming up...]
  step=  20,760  1 eps: Worke:1L P1  ret=  -5.80  len=  490  WR[warming up...]
  step=  21,336  1 eps: Light:1L P0  ret=  33.00  len=  889  WR[warming up...]
  step=  30,240  1 eps: Worke:1L P0  ret=  -2.80  len=  415  WR[warming up...]
  step=  33,696  1 eps: Light:1L P1  ret=   5.00  len=  686  WR[warming up...]
  step=  36,384  1 eps: Mayar:1L P1  ret=  -6.80  len=  739  WR[warming up...]
  step=  36,624  1 eps: Mayar:1L P1  ret=  -4.80  len=  773  WR[warming up...]
  step=  36,864  1 eps: CoacA:1L P1  ret=  -9.80  len=  719  WR[warming up...]
  step=  36,912  1 eps: CoacA:1L P1  ret=   0.20  len=  800  WR[warming up...]
  step=  37,056  1 eps: Mayar:1L P1  ret=  -5.80  len=  735  WR[warming up...]
  step=  37,128  1 eps: CoacA:1L P1  ret=  11.00  len=  747  WR[warming up...]
  step=  37,248  1 eps: CoacA:1L P1  ret=   9.00  len=  737  WR[warming up...]
  step=  37,848  1 eps: CoacA:1L P1  ret=  11.00  len=  737  WR[warming up...]
  step=  38,112  1 eps: Mayar:1L P1  ret=   8.00  len=  895  WR[warming up...]
  step=  38,208  1 eps: Mayar:1L P1  ret=   6.00  len=  783  WR[warming up...]
  step=  38,976  1 eps: CoacA:1L P1  ret=  13.00  len=  806  WR[warming up...]
  step=  39,072  1 eps: Light:1L P1  ret=  -4.80  len=  739  WR[warming up...]
  step=  39,120  1 eps: CoacA:1L P1  ret=   9.00  len=  812  WR[warming up...]
  step=  39,288  1 eps: CoacA:1L P1  ret=  -3.00  len=  788  WR[warming up...]
  step=  39,456  1 eps: Mayar:1L P1  ret=  10.00  len=  797  WR[warming up...]
  step=  40,080  1 eps: Worke:1L P0  ret=  26.00  len=  805  WR[warming up...]
  step=  40,248  1 eps: CoacA:1L P1  ret=  19.00  len=  877  WR[warming up...]
  step=  42,000  1 eps: Mayar:1L P1  ret=  17.00  len=  896  WR[warming up...]
  step=  42,288  1 eps: Mayar:1L P1  ret=  36.00  len= 1015  WR[warming up...]
  step=  43,632  1 eps: Mayar:1L P1  ret=   6.00  len=  971  WR[warming up...]
  step=  46,920  1 eps: Worke:1L P1  ret=  17.00  len=  695  WR[warming up...]
  step=  49,896  1 eps: Light:1L P0  ret=   1.20  len=  675  WR[warming up...]
  step=  50,520  1 eps: Worke:1L P1  ret=   2.20  len=  435  WR[warming up...]
  step=  55,032  1 eps: Mayar:1L P0  ret=  -5.80  len=  749  WR[warming up...]
  step=  55,536  1 eps: CoacA:1L P0  ret=   0.20  len=  776  WR[warming up...]
  step=  56,256  1 eps: Mayar:1L P0  ret=  -0.80  len=  828  WR[warming up...]
  step=  56,376  1 eps: Mayar:1L P0  ret=  11.20  len=  823  WR[warming up...]
  step=  56,976  1 eps: CoacA:1L P0  ret=  -2.80  len=  750  WR[warming up...]
  step=  57,024  1 eps: CoacA:1L P0  ret=   7.20  len=  829  WR[warming up...]
  step=  57,096  1 eps: Light:1L P0  ret=  13.00  len=  751  WR[warming up...]
  step=  57,264  1 eps: Mayar:1L P0  ret=  -7.80  len=  794  WR[warming up...]
  step=  57,480  1 eps: CoacA:1L P0  ret=  18.00  len=  859  WR[warming up...]
  step=  57,840  1 eps: CoacA:1L P0  ret=  15.00  len=  858  WR[warming up...]
  step=  58,008  1 eps: CoacA:1L P0  ret=  -7.80  len=  840  WR[warming up...]
  step=  58,200  1 eps: Worke:1L P0  ret=   6.00  len=  470  WR[warming up...]
  step=  59,280  1 eps: CoacA:1L P0  ret=  -2.80  len=  793  WR[warming up...]
  step=  59,688  1 eps: CoacA:1L P0  ret=  17.00  len=  850  WR[warming up...]
  step=  59,808  1 eps: Mayar:1L P0  ret=  -3.80  len=  742  WR[warming up...]
  step=  60,480  1 eps: CoacA:1L P0  ret=  16.00  len=  890  WR[warming up...]
  step=  61,320  1 eps: Mayar:1L P0  ret=  14.00  len=  967  WR[warming up...]
  step=  61,680  1 eps: Mayar:1L P0  ret=  -7.80  len=  808  WR[warming up...]
  step=  61,824  1 eps: Mayar:1L P0  ret=  26.00  len=  932  WR[warming up...]
  step=  65,784  1 eps: Mayar:1L P0  ret=  19.00  len=  923  WR[warming up...]
  step=  65,880  1 eps: Worke:1L P0  ret=  18.00  len=  640  WR[warming up...]
  step=  69,720  1 eps: Worke:1L P1  ret=  10.00  len=  480  WR[warming up...]
  step=  70,200  1 eps: Light:1L P1  ret=  32.00  len=  846  WR[warming up...]
  step=  73,176  1 eps: CoacA:1L P1  ret=  -6.80  len=  735  WR[warming up...]
  step=  74,544  1 eps: Mayar:1L P1  ret=   3.00  len=  762  WR[warming up...]
  step=  75,336  1 eps: CoacA:1L P1  ret=  -5.80  len=  722  WR[warming up...]
  step=  75,672  1 eps: CoacA:1L P1  ret=  -5.80  len=  758  WR[warming up...]
  step=  76,464  1 eps: CoacA:1L P1  ret=  18.00  len=  810  WR[warming up...]
  step=  76,656  1 eps: Light:1L P1  ret=   9.00  len=  815  WR[warming up...]
  step=  76,680  1 eps: CoacA:1L P1  ret=   0.00  len=  821  WR[warming up...]
  step=  77,064  1 eps: CoacA:1L P1  ret=   3.00  len=  801  WR[warming up...]
  step=  77,712  1 eps: Mayar:1L P1  ret=  -8.80  len=  852  WR[warming up...]
  step=  77,880  1 eps: Worke:1L P1  ret=  11.00  len=  500  WR[warming up...]
