
============================================================
  PPO + unet_entity_cbam  —  MicroRTS
============================================================
  Exp name:     arch_ablation_unet_entity_cbam_s3
  Seed:         3
  Architecture: unet_entity_cbam (2,901,939 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  100,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      8138
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/arch_ablation_unet_entity_cbam_s3
  Eval every:   ~10.0M steps (813 updates)
  Eval bots:    RandomBiasedAI, POWorkerRush, POLightRush, CoacAI, Mayari (10 games each)
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/arch_ablation_unet_entity_cbam_s3/config.json

  step=  13,920  1 eps: POWor:1L P0  ret=   4.00  len=  580  WR[warming up...]
  step=  16,824  1 eps: POLig:1L P0  ret=  -5.80  len=  701  WR[warming up...]
  step=  17,208  1 eps: Mayar:1L P0  ret=  -3.80  len=  717  WR[warming up...]
  step=  17,640  1 eps: POWor:1L P0  ret=  24.00  len=  735  WR[warming up...]
  step=  17,664  1 eps: Mayar:1L P0  ret=  -8.80  len=  736  WR[warming up...]
  step=  18,600  1 eps: Mayar:1L P0  ret=  -3.80  len=  775  WR[warming up...]
  step=  18,744  1 eps: CoacA:1L P0  ret=  -5.80  len=  781  WR[warming up...]
  step=  18,912  1 eps: CoacA:1L P0  ret=   8.00  len=  788  WR[warming up...]
  step=  19,008  1 eps: CoacA:1L P0  ret=   2.00  len=  792  WR[warming up...]
  step=  19,824  1 eps: POLig:1L P0  ret=  40.00  len=  826  WR[warming up...]
  step=  20,448  1 eps: CoacA:1L P0  ret=   9.00  len=  852  WR[warming up...]
  step=  21,600  2 eps: CoacA:2L P0  ret=  13.50  len=  900  WR[warming up...]
  step=  22,128  1 eps: CoacA:1L P0  ret=  24.00  len=  922  WR[warming up...]
  step=  22,344  1 eps: CoacA:1L P0  ret=  31.00  len=  931  WR[warming up...]
  step=  22,488  1 eps: CoacA:1L P0  ret=  22.00  len=  937  WR[warming up...]
  step=  22,992  1 eps: Mayar:1L P0  ret=   9.00  len=  958  WR[warming up...]
  step=  23,400  1 eps: Mayar:1L P0  ret=  25.00  len=  975  WR[warming up...]
  step=  23,832  1 eps: Mayar:1L P0  ret=  26.00  len=  993  WR[warming up...]
  step=  23,904  1 eps: Mayar:1L P0  ret=  28.00  len=  996  WR[warming up...]
  step=  25,752  1 eps: Mayar:1L P0  ret=  20.00  len= 1073  WR[warming up...]
  step=  26,280  1 eps: POWor:1L P1  ret=   8.00  len=  515  WR[warming up...]
  step=  28,632  1 eps: Mayar:1L P0  ret=  43.00  len= 1193  WR[warming up...]
  step=  34,560  1 eps: POWor:1L P1  ret=  18.00  len=  705  WR[warming up...]
  step=  37,728  1 eps: CoacA:1L P1  ret=  -7.80  len=  720  WR[warming up...]
  step=  38,208  1 eps: CoacA:1L P1  ret=   9.20  len=  804  WR[warming up...]
  step=  38,424  1 eps: CoacA:1L P1  ret=   7.20  len=  820  WR[warming up...]
  step=  38,832  1 eps: Mayar:1L P1  ret=  33.00  len=  901  WR[warming up...]
  step=  39,480  1 eps: POWor:1L P0  ret=   5.00  len=  550  WR[warming up...]
  step=  39,840  1 eps: CoacA:1L P1  ret=   0.20  len=  723  WR[warming up...]
  step=  40,032  1 eps: Mayar:1L P1  ret=  31.00  len=  932  WR[warming up...]
  step=  40,128  1 eps: CoacA:1L P1  ret=   7.00  len=  880  WR[warming up...]
  step=  40,632  1 eps: POLig:1L P1  ret=  15.00  len=  867  WR[warming up...]
  step=  41,040  1 eps: CoacA:1L P1  ret=  21.00  len=  810  WR[warming up...]
  step=  41,112  1 eps: POLig:1L P1  ret=  35.00  len= 1012  WR[warming up...]
  step=  41,160  1 eps: CoacA:1L P1  ret=  19.00  len=  815  WR[warming up...]
  step=  41,208  1 eps: CoacA:1L P1  ret=   0.20  len=  795  WR[warming up...]
  step=  41,472  1 eps: Mayar:1L P1  ret=  20.00  len=  953  WR[warming up...]
  step=  42,624  1 eps: CoacA:1L P1  ret=  19.00  len=  845  WR[warming up...]
  step=  43,056  1 eps: Mayar:1L P1  ret=  17.00  len=  801  WR[warming up...]
  step=  43,200  1 eps: Mayar:1L P1  ret=  16.20  len=  842  WR[warming up...]
  step=  43,512  1 eps: Mayar:1L P1  ret=  12.20  len=  740  WR[warming up...]
  step=  43,824  1 eps: Mayar:1L P1  ret=   3.00  len=  851  WR[warming up...]
  step=  47,784  1 eps: Mayar:1L P1  ret=   5.20  len=  798  WR[warming up...]
  step=  49,608  1 eps: Mayar:1L P1  ret=  22.00  len= 1071  WR[warming up...]
  step=  55,440  1 eps: POWor:1L P0  ret=  36.00  len=  870  WR[warming up...]
  step=  55,824  1 eps: POLig:1L P0  ret=   0.20  len=  633  WR[warming up...]
  step=  57,312  1 eps: CoacA:1L P0  ret=   3.20  len=  796  WR[warming up...]
  step=  57,360  1 eps: POWor:1L P1  ret=  21.00  len=  745  WR[warming up...]
  step=  58,200  2 eps: CoacA:1L P0 POLig:1L P0  ret=   5.70  len=  768  WR[warming up...]
  step=  60,192  2 eps: CoacA:2L P0  ret=  14.60  len=  864  WR[warming up...]
  step=  60,432  1 eps: CoacA:1L P0  ret=  -5.80  len=  742  WR[warming up...]
  step=  60,576  1 eps: Mayar:1L P0  ret=  -8.80  len=  796  WR[warming up...]
  step=  61,080  1 eps: Mayar:1L P0  ret=  -1.80  len=  751  WR[warming up...]
  step=  61,200  1 eps: CoacA:1L P0  ret=   3.20  len=  890  WR[warming up...]
  step=  62,448  1 eps: CoacA:1L P0  ret=  42.00  len=  892  WR[warming up...]
  step=  62,520  1 eps: Mayar:1L P0  ret=   8.20  len=  792  WR[warming up...]
  step=  63,768  1 eps: CoacA:1L P0  ret=  37.00  len=  985  WR[warming up...]
  step=  64,920  1 eps: Mayar:1L P0  ret=  32.00  len= 1037  WR[warming up...]
  step=  65,760  1 eps: CoacA:1L P0  ret=  37.00  len= 1023  WR[warming up...]
  step=  66,720  2 eps: Mayar:1L P0 POWor:1L P1  ret=  24.10  len=  816  WR[warming up...]
  step=  66,984  1 eps: Mayar:1L P0  ret=   5.20  len=  800  WR[warming up...]
  step=  68,448  1 eps: Mayar:1L P0  ret=  41.00  len= 1052  WR[warming up...]
  step=  68,688  1 eps: Mayar:1L P0  ret=   6.20  len=  795  WR[warming up...]
  step=  68,880  1 eps: Mayar:1L P0  ret=  45.00  len= 1044  WR[warming up...]
  step=  72,840  1 eps: POWor:1L P0  ret=  21.00  len=  645  WR[warming up...]
  step=  75,792  1 eps: CoacA:1L P1  ret=  19.20  len=  770  WR[warming up...]
  step=  77,736  1 eps: CoacA:1L P1  ret=  39.20  len=  814  WR[warming up...]
  step=  78,000  1 eps: Rando:1L P0  ret=  -1.80  len= 3250  WR[warming up...]
  step=  78,336  1 eps: Mayar:1L P1  ret=  -9.80  len=  719  WR[warming up...]
  step=  78,648  1 eps: POLig:1L P1  ret=  39.00  len=  951  WR[warming up...]
  step=  79,128  1 eps: CoacA:1L P1  ret=   0.20  len=  789  WR[warming up...]
  step=  79,224  1 eps: CoacA:1L P1  ret=  -5.80  len=  751  WR[warming up...]
  step=  79,320  1 eps: POWor:1L P0  ret=  -2.80  len=  525  WR[warming up...]
  step=  80,640  1 eps: CoacA:1L P1  ret=  34.00  len=  842  WR[warming up...]
  step=  81,360  1 eps: CoacA:1L P1  ret=  30.20  len=  882  WR[warming up...]
  step=  81,504  1 eps: Mayar:1L P1  ret=  29.20  len=  872  WR[warming up...]
  step=  81,576  1 eps: POLig:1L P1  ret=  43.00  len=  974  WR[warming up...]
  step=  83,568  1 eps: CoacA:1L P1  ret=  23.00  len=  825  WR[warming up...]
  step=  84,024  1 eps: CoacA:1L P1  ret=   6.20  len=  899  WR[warming up...]
  step=  85,248  1 eps: Mayar:1L P1  ret=  13.20  len=  761  WR[warming up...]
  step=  85,728  1 eps: CoacA:1L P1  ret=  36.00  len=  832  WR[warming up...]
  step=  86,832  1 eps: Mayar:1L P1  ret=  38.00  len= 1013  WR[warming up...]
