arch,seed,opponent,games,p0_wr,p0_avg_len,p1_wr,p1_avg_len,total_wr
gridnet,1,RandomBiasedAI,1000,1.0,943,1.0,901,1.0
gridnet,1,WorkerRush,1000,0.276,1006,0.25,1087,0.263
gridnet,1,LightRush,1000,0.638,1210,0.994,760,0.816
gridnet,1,CoacAI,1000,0.132,1353,0.984,767,0.558
gridnet,1,Mayari,1000,0.566,1333,0.35,1354,0.458
gridnet,2,RandomBiasedAI,1000,1.0,974,1.0,951,1.0
gridnet,2,WorkerRush,1000,0.572,1046,0.4,1076,0.486
gridnet,2,LightRush,1000,0.846,1230,0.998,765,0.922
gridnet,2,CoacAI,1000,0.06,1352,0.976,591,0.518
gridnet,2,Mayari,1000,0.76,1322,0.41,1364,0.585
gridnet,3,RandomBiasedAI,1000,1.0,994,1.0,1008,1.0
gridnet,3,WorkerRush,1000,0.432,964,0.318,1159,0.375
gridnet,3,LightRush,1000,0.688,1318,0.964,792,0.826
gridnet,3,CoacAI,1000,0.022,1368,0.838,781,0.43
gridnet,3,Mayari,1000,0.718,1454,0.262,1328,0.49
impala,1,RandomBiasedAI,1000,1.0,941,1.0,903,1.0
impala,1,WorkerRush,1000,0.992,821,0.798,1046,0.895
impala,1,LightRush,1000,0.986,1021,0.676,1419,0.831
impala,1,CoacAI,1000,0.188,1712,0.306,1467,0.247
impala,1,Mayari,1000,0.746,1385,0.644,1481,0.695
impala,2,RandomBiasedAI,1000,1.0,913,1.0,922,1.0
impala,2,WorkerRush,1000,0.566,1202,0.104,1294,0.335
impala,2,LightRush,1000,0.868,1029,0.754,1266,0.811
impala,2,CoacAI,1000,0.208,1352,0.386,1152,0.297
impala,2,Mayari,1000,0.7,1268,0.462,1389,0.581
impala,3,RandomBiasedAI,1000,1.0,866,1.0,908,1.0
impala,3,WorkerRush,1000,0.832,927,0.364,1234,0.598
impala,3,LightRush,1000,0.87,1142,0.948,853,0.909
impala,3,CoacAI,1000,0.058,1535,0.926,776,0.492
impala,3,Mayari,1000,0.838,1168,0.376,1389,0.607
impala_entity,1,RandomBiasedAI,1000,1.0,851,1.0,902,1.0
impala_entity,1,WorkerRush,1000,0.926,905,0.404,1628,0.665
impala_entity,1,LightRush,1000,0.854,1185,0.77,1234,0.812
impala_entity,1,CoacAI,1000,0.122,1595,0.802,1113,0.462
impala_entity,1,Mayari,1000,0.798,1214,0.904,1155,0.851
impala_entity,2,RandomBiasedAI,1000,1.0,864,1.0,1053,1.0
impala_entity,2,WorkerRush,1000,0.932,994,0.35,1826,0.641
impala_entity,2,LightRush,1000,0.828,1306,0.954,1104,0.891
impala_entity,2,CoacAI,1000,0.008,1369,0.968,764,0.488
impala_entity,2,Mayari,1000,0.736,1346,0.544,1431,0.64
impala_entity,3,RandomBiasedAI,1000,1.0,845,1.0,962,1.0
impala_entity,3,WorkerRush,1000,0.988,907,0.41,1346,0.699
impala_entity,3,LightRush,1000,0.698,1398,0.994,809,0.846
impala_entity,3,CoacAI,1000,0.116,1541,0.988,737,0.552
impala_entity,3,Mayari,1000,0.76,1286,0.624,1363,0.692
unet,1,RandomBiasedAI,1000,1.0,697,1.0,703,1.0
unet,1,WorkerRush,1000,0.81,1265,0.802,1280,0.806
unet,1,LightRush,1000,0.82,1076,0.994,784,0.907
unet,1,CoacAI,1000,0.18,1527,0.964,670,0.572
unet,1,Mayari,1000,0.796,1188,0.426,1395,0.611
unet,2,RandomBiasedAI,1000,1.0,757,1.0,729,1.0
unet,2,WorkerRush,1000,0.854,1180,0.97,1289,0.912
unet,2,LightRush,1000,0.916,1167,0.964,1079,0.94
