
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_augment_symmetry_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Augment:      symmetry (random H/V flip)
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3/config.json

  step=   9,120  1 eps: POWor:1L P0  ret=  -8.80  len=  380  WR[warming up...]
  step=  17,064  1 eps: Mayar:1L P0  ret=  -9.80  len=  711  WR[warming up...]
  step=  17,712  1 eps: Mayar:1L P0  ret=  -5.80  len=  738  WR[warming up...]
  step=  17,760  1 eps: POLig:1L P0  ret=  -5.80  len=  740  WR[warming up...]
  step=  17,856  1 eps: Mayar:1L P0  ret=  -4.80  len=  744  WR[warming up...]
  step=  17,880  1 eps: Mayar:1L P0  ret=  -3.80  len=  745  WR[warming up...]
  step=  18,048  1 eps: CoacA:1L P0  ret=  -8.80  len=  752  WR[warming up...]
  step=  18,120  1 eps: POLig:1L P0  ret=   6.20  len=  755  WR[warming up...]
  step=  19,032  1 eps: CoacA:1L P0  ret=   4.00  len=  793  WR[warming up...]
  step=  19,416  1 eps: CoacA:1L P0  ret=  -8.80  len=  809  WR[warming up...]
  step=  20,544  1 eps: CoacA:1L P0  ret=  30.00  len=  856  WR[warming up...]
  step=  20,568  1 eps: CoacA:1L P0  ret=  -6.80  len=  857  WR[warming up...]
  step=  21,000  1 eps: POWor:1L P1  ret=  -6.80  len=  495  WR[warming up...]
  step=  21,096  1 eps: CoacA:1L P0  ret=  18.00  len=  879  WR[warming up...]
  step=  21,192  1 eps: CoacA:1L P0  ret=  14.00  len=  883  WR[warming up...]
  step=  21,480  1 eps: POWor:1L P0  ret=  30.00  len=  895  WR[warming up...]
  step=  22,080  1 eps: Mayar:1L P0  ret=  23.00  len=  920  WR[warming up...]
  step=  22,392  1 eps: Mayar:1L P0  ret=  23.00  len=  933  WR[warming up...]
  step=  23,520  1 eps: CoacA:1L P0  ret=  32.00  len=  980  WR[warming up...]
  step=  23,664  1 eps: Mayar:1L P0  ret=  22.00  len=  986  WR[warming up...]
  step=  24,192  1 eps: CoacA:1L P0  ret=   9.00  len= 1008  WR[warming up...]
  step=  25,008  1 eps: Mayar:1L P0  ret=  22.00  len= 1042  WR[warming up...]
  step=  25,512  1 eps: Mayar:1L P0  ret=  22.00  len= 1063  WR[warming up...]
  step=  32,880  1 eps: POWor:1L P1  ret=  -0.80  len=  475  WR[warming up...]
  step=  35,328  1 eps: CoacA:1L P1  ret=  -3.80  len=  720  WR[warming up...]
  step=  36,120  1 eps: Rando:1L P0  ret=  -5.80  len= 1505  WR[warming up...]
  step=  37,824  1 eps: Mayar:1L P1  ret=  25.00  len=  838  WR[warming up...]
