
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_autoregressive_hmask_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) (4,750,673 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Auto-reg:     embed_dim=8
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_autoregressive_hmask_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_autoregressive_hmask_s2/config.json

  step=  16,200  1 eps: POWor:1L P0  ret=  17.00  len=  675  WR[warming up...]
  step=  16,680  1 eps: POWor:1L P0  ret=  20.00  len=  695  WR[warming up...]
  step=  17,784  1 eps: Mayar:1L P0  ret=  -4.80  len=  741  WR[warming up...]
  step=  18,672  1 eps: Mayar:1L P0  ret=  -0.80  len=  778  WR[warming up...]
  step=  19,800  2 eps: CoacA:1L P0 Mayar:1L P0  ret=  -6.80  len=  825  WR[warming up...]
  step=  19,824  1 eps: Mayar:1L P0  ret=   4.20  len=  826  WR[warming up...]
  step=  20,232  1 eps: CoacA:1L P0  ret=   0.20  len=  843  WR[warming up...]
  step=  20,256  1 eps: CoacA:1L P0  ret=   4.00  len=  844  WR[warming up...]
  step=  20,544  2 eps: CoacA:2L P0  ret=  14.00  len=  856  WR[warming up...]
  step=  20,592  2 eps: CoacA:2L P0  ret=  17.50  len=  858  WR[warming up...]
  step=  20,880  1 eps: POLig:1L P0  ret=  21.00  len=  870  WR[warming up...]
  step=  21,024  1 eps: CoacA:1L P0  ret=  17.00  len=  876  WR[warming up...]
  step=  21,744  1 eps: CoacA:1L P0  ret=  -6.80  len=  906  WR[warming up...]
  step=  22,056  1 eps: Mayar:1L P0  ret=  26.00  len=  919  WR[warming up...]
  step=  22,248  1 eps: POLig:1L P0  ret=  15.00  len=  927  WR[warming up...]
  step=  25,632  1 eps: Mayar:1L P0  ret=  24.00  len= 1068  WR[warming up...]
  step=  26,112  1 eps: Mayar:1L P0  ret=  19.00  len= 1088  WR[warming up...]
  step=  26,544  1 eps: Mayar:1L P0  ret=  35.00  len= 1106  WR[warming up...]
  step=  26,856  1 eps: Mayar:1L P0  ret=  12.00  len= 1119  WR[warming up...]
  step=  26,880  1 eps: POWor:1L P1  ret=  -2.80  len=  445  WR[warming up...]
  step=  36,960  1 eps: POWor:1L P1  ret=  31.00  len=  845  WR[warming up...]
  step=  37,440  1 eps: POWor:1L P0  ret=  13.00  len=  440  WR[warming up...]
  step=  37,944  1 eps: CoacA:1L P1  ret=  -7.80  len=  725  WR[warming up...]
  step=  38,520  1 eps: CoacA:1L P1  ret=  -1.00  len=  780  WR[warming up...]
  step=  39,288  1 eps: CoacA:1L P1  ret=  16.00  len=  779  WR[warming up...]
  step=  39,648  1 eps: CoacA:1L P1  ret=  14.00  len=  809  WR[warming up...]
  step=  39,696  1 eps: CoacA:1L P1  ret=  22.00  len=  810  WR[warming up...]
  step=  39,888  1 eps: Mayar:1L P1  ret=  25.00  len=  921  WR[warming up...]
  step=  40,296  1 eps: CoacA:1L P1  ret=  27.00  len=  823  WR[warming up...]
  step=  40,728  1 eps: CoacA:1L P1  ret=  17.00  len=  791  WR[warming up...]
  step=  42,072  1 eps: CoacA:1L P1  ret=  25.00  len=  877  WR[warming up...]
  step=  42,600  2 eps: CoacA:1L P1 Mayar:1L P1  ret=   4.10  len=  802  WR[warming up...]
  step=  42,648  1 eps: Mayar:1L P1  ret=  28.00  len=  999  WR[warming up...]
  step=  42,984  1 eps: Mayar:1L P1  ret=   5.20  len=  723  WR[warming up...]
  step=  43,008  1 eps: POLig:1L P1  ret=  13.00  len=  865  WR[warming up...]
  step=  43,248  1 eps: Mayar:1L P1  ret=  14.00  len=  977  WR[warming up...]
  step=  43,272  1 eps: Mayar:1L P1  ret=  32.00  len=  977  WR[warming up...]
  step=  43,416  1 eps: POLig:1L P1  ret=  37.00  len=  939  WR[warming up...]
  step=  46,080  1 eps: Mayar:1L P1  ret=  24.00  len= 1001  WR[warming up...]
  step=  48,720  1 eps: POWor:1L P0  ret=  10.00  len=  490  WR[warming up...]
  step=  51,120  1 eps: POWor:1L P1  ret=  13.00  len=  570  WR[warming up...]
  step=  51,576  1 eps: Mayar:1L P1  ret=  43.00  len= 1043  WR[warming up...]
  step=  55,944  1 eps: Mayar:1L P1  ret=  36.00  len= 1212  WR[warming up...]
  step=  58,344  1 eps: CoacA:1L P0  ret=  -1.80  len=  734  WR[warming up...]
  step=  59,088  1 eps: CoacA:1L P0  ret=   3.00  len=  810  WR[warming up...]
  step=  59,136  1 eps: CoacA:1L P0  ret=  -9.80  len=  785  WR[warming up...]
  step=  60,360  1 eps: CoacA:1L P0  ret=  23.00  len=  878  WR[warming up...]
  step=  60,504  1 eps: CoacA:1L P0  ret=   6.20  len=  916  WR[warming up...]
  step=  60,936  1 eps: CoacA:1L P0  ret=  -6.80  len=  958  WR[warming up...]
  step=  61,296  2 eps: CoacA:1L P0 Mayar:1L P0  ret=   7.10  len=  831  WR[warming up...]
  step=  62,136  1 eps: Mayar:1L P0  ret=  -1.80  len=  786  WR[warming up...]
  step=  62,256  1 eps: POLig:1L P0  ret=  19.00  len=  802  WR[warming up...]
  step=  63,600  1 eps: Mayar:1L P0  ret=  25.00  len=  988  WR[warming up...]
  step=  64,104  1 eps: POLig:1L P0  ret=  23.00  len=  862  WR[warming up...]
  step=  64,344  1 eps: CoacA:1L P0  ret=  27.00  len=  906  WR[warming up...]
  step=  64,632  1 eps: CoacA:1L P0  ret=  24.00  len=  940  WR[warming up...]
  step=  65,280  1 eps: POWor:1L P1  ret=  23.00  len=  690  WR[warming up...]
  step=  65,880  1 eps: POWor:1L P0  ret=  12.00  len=  615  WR[warming up...]
  step=  66,240  1 eps: Mayar:1L P0  ret=   8.20  len=  840  WR[warming up...]
  step=  66,600  1 eps: Mayar:1L P0  ret=  24.00  len=  973  WR[warming up...]
  step=  66,624  1 eps: Mayar:1L P0  ret=  27.00  len=  999  WR[warming up...]
  step=  75,840  1 eps: Mayar:1L P0  ret=  21.00  len= 1011  WR[warming up...]
  step=  77,040  1 eps: POWor:1L P0  ret=   0.20  len=  490  WR[warming up...]
  step=  78,480  1 eps: CoacA:1L P1  ret=   0.20  len=  731  WR[warming up...]
  step=  78,768  1 eps: CoacA:1L P1  ret=  23.00  len=  820  WR[warming up...]
  step=  78,888  1 eps: CoacA:1L P1  ret=  34.60  len=  766  WR[warming up...]
  step=  79,296  1 eps: Mayar:1L P0  ret=  70.00  len= 1529  WR[warming up...]
  step=  79,776  1 eps: Mayar:1L P0  ret=  25.00  len=  993  WR[warming up...]
  step=  79,872  1 eps: CoacA:1L P1  ret=   5.20  len=  813  WR[warming up...]
  step=  79,992  1 eps: CoacA:1L P1  ret=  31.00  len=  902  WR[warming up...]
  step=  80,016  1 eps: CoacA:1L P1  ret=   0.20  len=  780  WR[warming up...]
  step=  80,256  1 eps: CoacA:1L P1  ret=  34.00  len=  880  WR[warming up...]
  step=  83,280  1 eps: POWor:1L P1  ret=  32.00  len=  725  WR[warming up...]
  step=  83,928  1 eps: CoacA:1L P1  ret=  34.00  len=  804  WR[warming up...]
  step=  84,600  1 eps: POLig:1L P1  ret=  49.00  len=  854  WR[warming up...]
  step=  84,624  1 eps: POLig:1L P1  ret=  45.00  len=  932  WR[warming up...]
  step=  85,608  1 eps: Mayar:1L P1  ret=  15.20  len=  791  WR[warming up...]
  step=  85,776  1 eps: Mayar:1L P1  ret=  28.00  len=  985  WR[warming up...]
  step=  85,848  1 eps: Mayar:1L P1  ret=   6.20  len=  817  WR[warming up...]
  step=  85,920  1 eps: Mayar:1L P1  ret=  47.00  len= 1026  WR[warming up...]
  step=  85,944  1 eps: CoacA:1L P1  ret=  40.00  len=  900  WR[warming up...]
  step=  87,744  1 eps: Mayar:1L P1  ret=  33.00  len= 1006  WR[warming up...]
  step=  88,200  1 eps: POWor:1L P1  ret=  16.60  len=  465  WR[warming up...]
  step=  94,368  1 eps: Mayar:1L P1  ret=  56.00  len= 1157  WR[warming up...]
  step=  94,800  1 eps: POWor:1L P0  ret=   1.20  len=  480  WR[warming up...]
  step=  96,000  2 eps: Rando:2D P0  ret= 119.00  len= 4000  WR[warming up...]
  step=  97,608  1 eps: CoacA:1L P0  ret=  -9.80  len=  723  WR[warming up...]
  step=  97,656  1 eps: CoacA:1L P0  ret=   0.20  len=  787  WR[warming up...]
  step=  98,160  1 eps: POWor:1L P0  ret=  -5.80  len=  415  WR[warming up...]
  step=  98,448  1 eps: Mayar:1L P1  ret=   9.20  len=  798  WR[warming up...]
  step= 100,008  1 eps: CoacA:1L P0  ret=   4.20  len=  880  WR[warming up...]
  step= 100,200  1 eps: CoacA:1L P0  ret=  28.00  len=  905  WR[warming up...]
  step= 100,512  1 eps: CoacA:1L P0  ret=  -3.80  len=  855  WR[warming up...]
  step= 100,824  1 eps: CoacA:1L P0  ret=  28.20  len=  867  WR[warming up...]
  step= 101,952  1 eps: CoacA:1L P0  ret=  30.00  len=  920  WR[warming up...]
  step= 102,408  1 eps: Mayar:1L P1  ret=  38.00  len=  943  WR[warming up...]
  step= 103,776  1 eps: POLig:1L P0  ret=  22.00  len=  798  WR[warming up...]
  step= 104,376  1 eps: POLig:1L P0  ret=  31.00  len=  824  WR[warming up...]
  step= 104,640  1 eps: CoacA:1L P0  ret=   8.20  len=  779  WR[warming up...]
  step= 104,808  1 eps: Mayar:1L P1  ret=  66.00  len= 1207  WR[warming up...]
  step= 104,976  1 eps: Mayar:1L P0  ret=   3.20  len=  807  WR[warming up...]
  step= 106,032  1 eps: Mayar:1L P0  ret=   1.20  len=  762  WR[warming up...]
  step= 106,440  1 eps: CoacA:1L P0  ret=  22.00  len=  938  WR[warming up...]
  step= 108,504  1 eps: Mayar:1L P0  ret=  34.20  len=  947  WR[warming up...]
  step= 111,240  1 eps: POWor:1L P1  ret=  23.20  len=  685  WR[warming up...]
  step= 112,368  1 eps: Mayar:1L P0  ret=  51.00  len= 1102  WR[warming up...]
  step= 112,488  1 eps: Mayar:1L P0  ret=  40.00  len= 1110  WR[warming up...]
  step= 115,104  1 eps: Mayar:1L P0  ret=  20.20  len=  864  WR[warming up...]
  step= 117,840  1 eps: CoacA:1L P1  ret=  16.20  len=  841  WR[warming up...]
  step= 118,128  1 eps: CoacA:1L P1  ret=  38.00  len=  855  WR[warming up...]
  step= 119,184  1 eps: CoacA:1L P1  ret=  21.00  len=  778  WR[warming up...]
  step= 119,640  1 eps: POWor:1L P0  ret=  -8.80  len=  350  WR[warming up...]
  step= 119,688  1 eps: CoacA:1L P1  ret=  -5.80  len=  739  WR[warming up...]
  step= 119,928  1 eps: CoacA:1L P1  ret=  44.20  len=  830  WR[Coac=0%]
  step= 122,400  1 eps: CoacA:1L P1  ret=  37.00  len=  925  WR[Coac=0%]
  step= 122,712  1 eps: Mayar:1L P0  ret=  10.20  len=  746  WR[Coac=0%]
  step= 123,552  1 eps: POLig:1L P1  ret=  29.00  len=  824  WR[Coac=0%]
  step= 123,792  1 eps: Mayar:1L P1  ret=  -0.80  len=  740  WR[Coac=0%]
  step= 124,224  2 eps: CoacA:2L P1  ret=  27.00  len=  895  WR[Coac=0%]
  step= 124,296  1 eps: POLig:1L P1  ret=  36.20  len=  830  WR[Coac=0%]
  step= 126,480  1 eps: CoacA:1L P1  ret=  27.20  len=  835  WR[Coac=0%]
  step= 126,648  1 eps: Mayar:1L P0  ret=  55.00  len= 1175  WR[Coac=0%]
  step= 129,600  1 eps: Mayar:1L P1  ret=  17.20  len=  879  WR[Coac=0%]
  step= 131,544  1 eps: Mayar:1L P1  ret=   1.20  len=  799  WR[Coac=0%]
  step= 131,760  1 eps: POWor:1L P1  ret=  18.40  len=  505  WR[Coac=0%]
  step= 132,120  1 eps: POWor:1L P1  ret=  83.00  len= 1415  WR[Coac=0%]
  step= 134,808  1 eps: Mayar:1L P1  ret=  62.00  len= 1243  WR[Coac=0%]
  step= 134,880  1 eps: Mayar:1L P0  ret=  47.00  len= 1353  WR[Coac=0%]
  step= 136,992  1 eps: CoacA:1L P0  ret=  -6.80  len=  742  WR[Coac=0%]
  step= 138,408  1 eps: CoacA:1L P0  ret=  -9.80  len=  780  WR[Coac=0%]
  step= 138,816  1 eps: CoacA:1L P0  ret=  13.20  len=  874  WR[Coac=0%]
  step= 139,272  1 eps: Mayar:1L P1  ret=  35.00  len= 1116  WR[Coac=0% Maya=0%]
  step= 141,792  1 eps: CoacA:1L P0  ret=  12.20  len=  986  WR[Coac=0% Maya=0%]
  step= 142,344  1 eps: POLig:1L P0  ret=   7.20  len=  783  WR[Coac=0% Maya=0%]
  step= 142,968  1 eps: Mayar:1L P1  ret=  57.00  len= 1161  WR[Coac=0% Maya=0%]
  step= 143,400  1 eps: CoacA:1L P0  ret=  24.00  len=  978  WR[Coac=0% Maya=0%]
  step= 143,832  1 eps: CoacA:1L P0  ret=  31.00  len=  893  WR[Coac=0% Maya=0%]
  step= 145,776  1 eps: CoacA:1L P0  ret=  13.20  len=  898  WR[Coac=0% Maya=0%]
  step= 146,880  1 eps: POWor:1L P0  ret=  26.00  len=  615  WR[Coac=0% Maya=0%]
  step= 147,216  1 eps: POLig:1L P0  ret=  43.00  len=  955  WR[Coac=0% Maya=0%]
  step= 147,672  1 eps: CoacA:1L P0  ret=  16.20  len=  883  WR[Coac=0% Maya=0%]
  step= 147,936  1 eps: CoacA:1L P0  ret=  38.00  len=  988  WR[Coac=0% Maya=0%]
  step= 148,080  1 eps: POWor:1L P0  ret=  16.20  len=  680  WR[Coac=0% Maya=0%]
  step= 150,288  1 eps: Mayar:1L P0  ret=  50.00  len= 1104  WR[Coac=0% Maya=0%]
  step= 151,632  1 eps: Mayar:1L P1  ret=  57.00  len= 1205  WR[Coac=0% Maya=0%]
  step= 154,416  1 eps: Mayar:1L P1  ret=  43.20  len= 1157  WR[Coac=0% Maya=0%]
  step= 155,136  1 eps: Mayar:1L P0  ret=  12.20  len=  847  WR[Coac=0% Maya=0%]
  step= 155,328  1 eps: CoacA:1L P1  ret=   2.20  len=  764  WR[Coac=0% Maya=0%]
  step= 155,352  1 eps: Mayar:1L P0  ret=  49.00  len= 1073  WR[Coac=0% Maya=0%]
  step= 158,664  1 eps: Mayar:1L P0  ret=   8.20  len=  808  WR[Coac=0% Maya=0%]
  step= 159,048  1 eps: CoacA:1L P1  ret=  36.00  len=  860  WR[Coac=0% Maya=0%]
  step= 159,312  1 eps: Mayar:1L P0  ret=  59.00  len= 1157  WR[Coac=0% Maya=0%]
  step= 159,360  1 eps: POWor:1L P1  ret=  -0.80  len=  470  WR[Coac=0% Maya=0%]
  step= 159,576  1 eps: Mayar:1L P1  ret=  30.20  len= 1029  WR[Coac=0% Maya=0%]
  step= 161,376  1 eps: CoacA:1L P1  ret=  37.00  len=  816  WR[Coac=0% Maya=0%]
  step= 161,472  1 eps: CoacA:1L P1  ret=  40.00  len=  944  WR[Coac=0% Maya=0%]
  step= 162,600  1 eps: CoacA:1L P1  ret=  -3.80  len=  800  WR[Coac=0% Maya=0%]
  step= 164,088  1 eps: CoacA:1L P1  ret=  39.20  len=  844  WR[Coac=0% Maya=0%]
  step= 165,960  1 eps: POLig:1L P1  ret=  47.00  len=  984  WR[Coac=0% Maya=0%]
  step= 166,176  1 eps: Mayar:1L P0  ret=  51.20  len=  967  WR[Coac=0% Maya=0%]
  step= 167,568  1 eps: CoacA:1L P1  ret=  33.00  len=  829  WR[Coac=0% Maya=0%]
  step= 167,928  1 eps: CoacA:1L P1  ret=  24.00  len=  923  WR[Coac=0% Maya=0%]
  step= 168,624  1 eps: CoacA:1L P1  ret=  39.00  len=  862  WR[Coac=0% Maya=0%]
  step= 168,840  1 eps: POWor:1L P1  ret=  58.00  len=  915  WR[Coac=0% Maya=0%]
  step= 170,064  1 eps: Mayar:1L P1  ret=   1.20  len=  824  WR[Coac=0% Maya=0%]
  step= 172,176  1 eps: POLig:1L P1  ret=  47.00  len= 1040  WR[Coac=0% Maya=0%]
  step= 173,160  1 eps: Rando:1W P1  ret= 188.00  len= 3215  WR[Coac=0% Maya=0%]
  step= 174,552  1 eps: Mayar:1L P0  ret=  25.20  len=  955  WR[Coac=0% Maya=0%]
  step= 175,824  1 eps: CoacA:1L P0  ret=  14.00  len=  854  WR[Coac=0% Maya=0%]
  step= 178,488  1 eps: Mayar:1L P1  ret=  30.20  len=  964  WR[Coac=0% Maya=0%]
  step= 178,560  1 eps: POWor:1L P0  ret=  -1.80  len=  405  WR[Coac=0% Maya=0%]
  step= 179,088  1 eps: CoacA:1L P0  ret=  -2.80  len=  835  WR[Coac=0% Maya=0%]
  step= 179,880  1 eps: POWor:1L P0  ret=  27.00  len=  855  WR[Coac=0% Maya=0%]
  step= 179,928  1 eps: Mayar:1L P1  ret=   8.20  len=  886  WR[Coac=0% Maya=0%]
  step= 182,256  1 eps: CoacA:1L P0  ret=   8.20  len=  870  WR[Coac=0% Maya=0%]
  step= 182,856  1 eps: Rando:1W P1  ret= 210.20  len= 3619  WR[Coac=0% Maya=0%]
  step= 183,072  1 eps: CoacA:1L P0  ret=  45.20  len=  853  WR[Coac=0% Maya=0%]
  step= 184,728  1 eps: CoacA:1L P0  ret=   3.20  len=  860  WR[Coac=0% Maya=0%]
  step= 185,448  1 eps: CoacA:1L P0  ret=  40.00  len=  999  WR[Coac=0% Maya=0%]
  step= 187,200  1 eps: Mayar:1L P1  ret=  18.20  len=  876  WR[Coac=0% Maya=0%]
  step= 187,296  1 eps: CoacA:1L P0  ret=   1.20  len=  822  WR[Coac=0% Maya=0%]
  step= 188,856  1 eps: Mayar:1L P1  ret=  79.00  len= 1405  WR[Coac=0% Maya=0%]
  step= 189,000  1 eps: POLig:1L P0  ret=  53.00  len=  960  WR[Coac=0% Maya=0%]
  step= 189,264  1 eps: Mayar:1L P0  ret=  77.20  len= 1237  WR[Coac=0% Maya=0%]
  step= 189,648  1 eps: CoacA:1L P0  ret=  39.00  len=  905  WR[Coac=0% Maya=0%]
  step= 190,320  1 eps: Mayar:1L P1  ret=  77.00  len= 1292  WR[Coac=0% Maya=0%]
  step= 192,312  1 eps: POLig:1L P0  ret=  52.00  len=  839  WR[Coac=0% Maya=0%]
  step= 192,816  1 eps: CoacA:1L P0  ret=  46.00  len= 1008  WR[Coac=0% Maya=0%]
  step= 192,864  1 eps: Mayar:1L P1  ret=  -5.80  len=  763  WR[Coac=0% Maya=0%]
  step= 193,824  1 eps: CoacA:1L P1  ret=  -5.80  len=  750  WR[Coac=0% Maya=0%]
  step= 195,000  1 eps: Mayar:1L P0  ret= 110.00  len= 1691  WR[Coac=0% Maya=0%]
  step= 196,440  1 eps: Mayar:1L P0  ret=  53.20  len= 1099  WR[Coac=0% Maya=0%]
  step= 196,800  1 eps: POWor:1L P1  ret=  21.00  len=  760  WR[Coac=0% Maya=0%]
