
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     autoregressive_s1
  Seed:         1
  Architecture: unet_entity_cbam_deep (channels=48) (4,750,673 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Auto-reg:     embed_dim=8
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/autoregressive_s1
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/autoregressive_s1/config.json

  step=  15,000  1 eps: Worke:1L  ret=  18.00  len=  625  WR[warming up...]
  step=  18,024  1 eps: CoacA:1L  ret=  -6.80  len=  751  WR[warming up...]
  step=  18,312  1 eps: Mayar:1L  ret=   6.20  len=  763  WR[warming up...]
  step=  18,480  1 eps: Worke:1L  ret=  18.00  len=  770  WR[warming up...]
  step=  18,600  1 eps: Mayar:1L  ret=   2.20  len=  775  WR[warming up...]
  step=  19,128  1 eps: Light:1L  ret=  17.00  len=  797  WR[warming up...]
  step=  19,272  1 eps: CoacA:1L  ret=  -0.80  len=  803  WR[warming up...]
  step=  19,320  1 eps: CoacA:1L  ret=  -5.80  len=  805  WR[warming up...]
  step=  19,392  1 eps: CoacA:1L  ret=   4.00  len=  808  WR[warming up...]
  step=  19,752  1 eps: CoacA:1L  ret=   7.00  len=  823  WR[warming up...]
  step=  20,136  1 eps: CoacA:1L  ret=   8.00  len=  839  WR[warming up...]
  step=  20,160  1 eps: CoacA:1L  ret=   7.00  len=  840  WR[warming up...]
  step=  20,736  1 eps: Light:1L  ret=  23.00  len=  864  WR[warming up...]
  step=  23,688  1 eps: CoacA:1L  ret=  22.00  len=  987  WR[warming up...]
  step=  23,808  1 eps: CoacA:1L  ret=  17.00  len=  992  WR[warming up...]
  step=  24,024  1 eps: Mayar:1L  ret=  21.00  len= 1001  WR[warming up...]
  step=  24,360  1 eps: Mayar:1L  ret=  10.00  len= 1015  WR[warming up...]
  step=  25,296  1 eps: Mayar:1L  ret=  25.00  len= 1054  WR[warming up...]
  step=  25,368  1 eps: Mayar:1L  ret=  31.00  len= 1057  WR[warming up...]
  step=  25,416  1 eps: Mayar:1L  ret=  18.00  len= 1059  WR[warming up...]
  step=  25,464  1 eps: Mayar:1L  ret=  22.00  len= 1061  WR[warming up...]
  step=  25,584  1 eps: Mayar:1L  ret=  28.00  len= 1066  WR[warming up...]
  step=  26,520  1 eps: Worke:1L  ret=   1.20  len=  480  WR[warming up...]
  step=  33,840  1 eps: Worke:1L  ret=  10.00  len=  640  WR[warming up...]
  step=  35,760  1 eps: CoacA:1L  ret=   4.20  len=  739  WR[warming up...]
  step=  37,824  1 eps: Light:1L  ret=   5.20  len=  779  WR[warming up...]
  step=  37,992  1 eps: CoacA:1L  ret=   0.20  len=  775  WR[warming up...]
  step=  39,072  1 eps: CoacA:1L  ret=  20.00  len=  823  WR[warming up...]
  step=  39,144  1 eps: CoacA:1L  ret=   3.00  len=  828  WR[warming up...]
  step=  39,912  1 eps: CoacA:1L  ret=  -1.80  len=  840  WR[warming up...]
  step=  40,248  1 eps: CoacA:1L  ret=  23.00  len=  838  WR[warming up...]
  step=  40,704  1 eps: CoacA:1L  ret=  25.00  len=  856  WR[warming up...]
