
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     aux_spatial_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,723,717 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Aux task:     spatial (coef=0.1)
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/aux_spatial_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/aux_spatial_s3/config.json

  step=  13,440  1 eps: Worke:1L P0  ret=  12.00  len=  560  WR[warming up...]
  step=  16,128  1 eps: Light:1L P0  ret=  -6.80  len=  672  WR[warming up...]
  step=  17,112  1 eps: Mayar:1L P0  ret=  -9.80  len=  713  WR[warming up...]
  step=  17,472  1 eps: Mayar:1L P0  ret=  -3.80  len=  728  WR[warming up...]
  step=  18,624  1 eps: CoacA:1L P0  ret=  -6.80  len=  776  WR[warming up...]
  step=  18,864  1 eps: Mayar:1L P0  ret=  -5.80  len=  786  WR[warming up...]
  step=  20,040  1 eps: Worke:1L P0  ret=  24.00  len=  835  WR[warming up...]
  step=  21,312  1 eps: CoacA:1L P0  ret=   9.00  len=  888  WR[warming up...]
  step=  21,384  1 eps: CoacA:1L P0  ret=  20.00  len=  891  WR[warming up...]
  step=  21,480  1 eps: CoacA:1L P0  ret=  30.00  len=  895  WR[warming up...]
  step=  21,720  1 eps: Mayar:1L P0  ret=   8.00  len=  905  WR[warming up...]
  step=  21,912  1 eps: CoacA:1L P0  ret=  10.00  len=  913  WR[warming up...]
  step=  22,464  1 eps: Mayar:1L P0  ret=  12.00  len=  936  WR[warming up...]
  step=  22,560  1 eps: CoacA:1L P0  ret=   3.00  len=  940  WR[warming up...]
  step=  22,896  1 eps: CoacA:1L P0  ret=  31.00  len=  954  WR[warming up...]
  step=  23,088  1 eps: CoacA:1L P0  ret=  14.00  len=  962  WR[warming up...]
  step=  23,328  1 eps: Mayar:1L P0  ret=  34.00  len=  972  WR[warming up...]
  step=  23,736  1 eps: Light:1L P0  ret=  34.00  len=  989  WR[warming up...]
  step=  23,832  1 eps: CoacA:1L P0  ret=  26.00  len=  993  WR[warming up...]
  step=  24,024  1 eps: Mayar:1L P0  ret=  29.00  len= 1001  WR[warming up...]
  step=  24,840  1 eps: Worke:1L P1  ret=   9.00  len=  475  WR[warming up...]
  step=  25,176  1 eps: Mayar:1L P0  ret=  26.00  len= 1049  WR[warming up...]
  step=  25,584  1 eps: Mayar:1L P0  ret=  10.00  len= 1066  WR[warming up...]
  step=  35,904  1 eps: CoacA:1L P1  ret=  -0.80  len=  720  WR[warming up...]
  step=  37,968  1 eps: Mayar:1L P1  ret=  17.20  len=  854  WR[warming up...]
  step=  39,048  1 eps: CoacA:1L P1  ret=  12.00  len=  739  WR[warming up...]
  step=  40,200  1 eps: Light:1L P1  ret=  23.00  len= 1003  WR[warming up...]
  step=  40,272  1 eps: CoacA:1L P1  ret=  10.20  len=  765  WR[warming up...]
  step=  40,320  1 eps: Mayar:1L P1  ret=  26.00  len=  894  WR[warming up...]
  step=  41,424  1 eps: CoacA:1L P1  ret=  10.00  len=  764  WR[warming up...]
  step=  41,616  1 eps: CoacA:1L P1  ret=  13.00  len=  741  WR[warming up...]
  step=  41,640  1 eps: Worke:1L P0  ret=  28.00  len=  700  WR[warming up...]
  step=  41,688  1 eps: CoacA:1L P1  ret=  29.00  len=  797  WR[warming up...]
  step=  41,784  1 eps: CoacA:1L P1  ret=  16.00  len=  846  WR[warming up...]
  step=  41,832  1 eps: Mayar:1L P1  ret=  18.00  len=  838  WR[warming up...]
  step=  41,976  1 eps: Mayar:1L P1  ret=  40.00  len= 1036  WR[warming up...]
  step=  43,872  1 eps: Light:1L P1  ret=  13.20  len=  839  WR[warming up...]
  step=  43,944  1 eps: CoacA:1L P1  ret=  24.00  len=  940  WR[warming up...]
  step=  44,616  1 eps: Mayar:1L P1  ret=  26.00  len=  887  WR[warming up...]
  step=  44,928  1 eps: Mayar:1L P1  ret=  20.00  len=  871  WR[warming up...]
  step=  44,952  1 eps: Mayar:1L P1  ret=   4.20  len=  807  WR[warming up...]
  step=  45,000  1 eps: Worke:1L P1  ret=  46.00  len= 1040  WR[warming up...]
  step=  45,792  1 eps: CoacA:1L P1  ret=  31.00  len=  954  WR[warming up...]
  step=  52,440  1 eps: Worke:1L P1  ret=  -0.80  len=  450  WR[warming up...]
  step=  54,000  1 eps: Worke:1L P0  ret=  -2.80  len=  375  WR[warming up...]
  step=  54,864  1 eps: CoacA:1L P0  ret=  -6.80  len=  790  WR[warming up...]
  step=  57,216  1 eps: Mayar:1L P1  ret=  50.00  len= 1335  WR[warming up...]
  step=  57,408  1 eps: Mayar:1L P1  ret=  52.00  len= 1456  WR[warming up...]
  step=  57,936  1 eps: Mayar:1L P0  ret=  17.20  len=  832  WR[warming up...]
  step=  58,176  1 eps: CoacA:1L P0  ret=   3.20  len=  797  WR[warming up...]
  step=  61,440  1 eps: Mayar:1L P0  ret=  -6.80  len=  701  WR[warming up...]
  step=  62,664  1 eps: CoacA:1L P0  ret=   7.00  len=  885  WR[warming up...]
  step=  62,760  1 eps: CoacA:1L P0  ret=  17.00  len=  881  WR[warming up...]
  step=  63,240  1 eps: Worke:1L P0  ret=   0.20  len=  450  WR[warming up...]
  step=  63,768  2 eps: CoacA:2L P0  ret=  12.60  len=  873  WR[warming up...]
  step=  65,880  1 eps: CoacA:1L P0  ret=  30.00  len= 1067  WR[warming up...]
  step=  66,240  1 eps: Mayar:1L P0  ret=  55.00  len= 1017  WR[warming up...]
  step=  66,888  1 eps: Light:1L P0  ret=  34.00  len=  959  WR[warming up...]
  step=  67,032  1 eps: Light:1L P0  ret=  77.00  len= 1118  WR[warming up...]
  step=  67,656  1 eps: Mayar:1L P0  ret=  37.00  len= 1139  WR[warming up...]
  step=  67,776  1 eps: CoacA:1L P0  ret=  39.00  len= 1083  WR[warming up...]
  step=  68,952  1 eps: CoacA:1L P0  ret=  14.20  len=  965  WR[warming up...]
  step=  69,552  1 eps: Mayar:1L P0  ret=  46.00  len= 1025  WR[warming up...]
  step=  70,128  1 eps: Mayar:1L P0  ret=  23.00  len= 1050  WR[warming up...]
  step=  70,656  1 eps: Mayar:1L P0  ret=  60.00  len= 1195  WR[warming up...]
  step=  73,032  1 eps: CoacA:1L P1  ret=  -7.80  len=  757  WR[warming up...]
  step=  74,448  1 eps: Mayar:1L P0  ret=  -0.80  len=  718  WR[warming up...]
  step=  74,880  1 eps: Worke:1L P1  ret=   0.20  len=  485  WR[warming up...]
  step=  76,032  1 eps: CoacA:1L P1  ret=  -7.80  len=  744  WR[warming up...]
  step=  78,312  1 eps: Mayar:1L P0  ret=  20.20  len=  871  WR[warming up...]
  step=  78,360  1 eps: Worke:1L P1  ret=  45.00  len= 1015  WR[warming up...]
  step=  81,528  1 eps: CoacA:1L P1  ret=   1.20  len=  740  WR[warming up...]
  step=  81,624  1 eps: CoacA:1L P1  ret=  18.20  len=  786  WR[warming up...]
  step=  83,208  1 eps: CoacA:1L P1  ret=  34.00  len=  856  WR[warming up...]
  step=  83,256  1 eps: CoacA:1L P1  ret=  33.00  len=  812  WR[warming up...]
  step=  83,640  1 eps: Mayar:1L P1  ret=  20.00  len= 1071  WR[warming up...]
  step=  87,480  1 eps: CoacA:1L P1  ret=  17.00  len=  900  WR[warming up...]
  step=  87,840  1 eps: Mayar:1L P1  ret=  52.00  len= 1100  WR[warming up...]
  step=  88,128  1 eps: Light:1L P1  ret=  27.00  len=  879  WR[warming up...]
  step=  88,320  1 eps: Worke:1L P0  ret=  -4.80  len=  415  WR[warming up...]
