
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     baseline_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/baseline_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/baseline_s2/config.json

  step=  15,840  1 eps: Worke:1L  ret=  19.00  len=  660  WR[warming up...]
  step=  17,952  1 eps: Mayar:1L  ret=  -3.80  len=  748  WR[warming up...]
  step=  18,360  1 eps: Worke:1L  ret=  17.00  len=  765  WR[warming up...]
  step=  18,768  1 eps: CoacA:1L  ret=   1.20  len=  782  WR[warming up...]
  step=  18,792  1 eps: CoacA:1L  ret=  -6.80  len=  783  WR[warming up...]
  step=  19,320  1 eps: CoacA:1L  ret=  -1.80  len=  805  WR[warming up...]
  step=  19,368  1 eps: Mayar:1L  ret=   2.20  len=  807  WR[warming up...]
  step=  19,416  1 eps: Mayar:1L  ret=   1.20  len=  809  WR[warming up...]
  step=  20,040  1 eps: CoacA:1L  ret=  14.00  len=  835  WR[warming up...]
  step=  20,544  1 eps: Mayar:1L  ret=  -5.80  len=  856  WR[warming up...]
  step=  21,024  1 eps: CoacA:1L  ret=  12.00  len=  876  WR[warming up...]
  step=  21,096  1 eps: CoacA:1L  ret=  13.00  len=  879  WR[warming up...]
  step=  21,504  1 eps: CoacA:1L  ret=  20.00  len=  896  WR[warming up...]
  step=  21,528  1 eps: Mayar:1L  ret=  30.00  len=  897  WR[warming up...]
  step=  21,552  1 eps: CoacA:1L  ret=  10.00  len=  898  WR[warming up...]
  step=  22,200  1 eps: Light:1L  ret=  23.00  len=  925  WR[warming up...]
  step=  22,440  1 eps: Light:1L  ret=  27.00  len=  935  WR[warming up...]
  step=  22,488  1 eps: Mayar:1L  ret=  22.00  len=  937  WR[warming up...]
  step=  24,096  1 eps: CoacA:1L  ret=  12.00  len= 1004  WR[warming up...]
  step=  24,264  1 eps: Mayar:1L  ret=  19.00  len= 1011  WR[warming up...]
  step=  24,360  1 eps: Mayar:1L  ret=  12.00  len= 1015  WR[warming up...]
  step=  24,432  1 eps: Mayar:1L  ret=  28.00  len= 1018  WR[warming up...]
  step=  24,480  1 eps: Worke:1L  ret=  -3.80  len=  360  WR[warming up...]
  step=  31,200  1 eps: Worke:1L  ret=   9.00  len=  535  WR[warming up...]
  step=  36,360  1 eps: Mayar:1L  ret=   1.20  len=  767  WR[warming up...]
  step=  36,744  1 eps: CoacA:1L  ret=  -9.80  len=  748  WR[warming up...]
  step=  37,128  1 eps: CoacA:1L  ret=  21.00  len=  765  WR[warming up...]
  step=  38,976  1 eps: CoacA:1L  ret=  20.00  len=  745  WR[warming up...]
  step=  39,000  1 eps: CoacA:1L  ret=  21.00  len=  820  WR[warming up...]
  step=  39,192  1 eps: CoacA:1L  ret=  22.00  len=  798  WR[warming up...]
  step=  39,360  1 eps: Worke:1L  ret=   8.00  len=  620  WR[warming up...]
  step=  40,320  1 eps: Light:1L  ret=  -2.80  len=  745  WR[warming up...]
  step=  40,800  1 eps: CoacA:1L  ret=  30.00  len=  802  WR[warming up...]
  step=  41,112  1 eps: CoacA:1L  ret=  23.00  len=  837  WR[warming up...]
  step=  41,376  1 eps: CoacA:1L  ret=  30.00  len=  828  WR[warming up...]
  step=  42,192  1 eps: Mayar:1L  ret=  39.00  len=  951  WR[warming up...]
  step=  42,600  1 eps: Light:1L  ret=  38.00  len=  850  WR[warming up...]
  step=  43,056  1 eps: Mayar:1L  ret=  -4.80  len=  779  WR[warming up...]
  step=  44,376  1 eps: Mayar:1L  ret=  19.00  len=  993  WR[warming up...]
  step=  44,760  1 eps: Worke:1L  ret=  20.00  len=  565  WR[warming up...]
  step=  44,952  1 eps: CoacA:1L  ret=  17.00  len=  869  WR[warming up...]
  step=  46,392  1 eps: Mayar:1L  ret=  37.00  len= 1036  WR[warming up...]
  step=  48,432  1 eps: Mayar:1L  ret=  24.00  len= 1081  WR[warming up...]
  step=  50,640  1 eps: Worke:1L  ret=   7.20  len=  470  WR[warming up...]
  step=  50,808  1 eps: Mayar:1L  ret=  45.00  len= 1106  WR[warming up...]
  step=  51,552  1 eps: Mayar:1L  ret=  46.00  len= 1130  WR[warming up...]
  step=  52,872  1 eps: Mayar:1L  ret=  51.00  len= 1394  WR[warming up...]
  step=  57,360  1 eps: Worke:1L  ret=  20.00  len=  525  WR[warming up...]
  step=  57,624  1 eps: CoacA:1L  ret=  16.00  len=  854  WR[warming up...]
  step=  58,968  1 eps: CoacA:1L  ret=   5.20  len=  833  WR[warming up...]
  step=  59,472  1 eps: Mayar:1L  ret=  -8.80  len=  720  WR[warming up...]
  step=  59,496  1 eps: CoacA:1L  ret=  30.00  len=  948  WR[warming up...]
  step=  59,976  1 eps: CoacA:1L  ret=  22.00  len=  866  WR[warming up...]
  step=  60,432  1 eps: CoacA:1L  ret=  20.00  len=  893  WR[warming up...]
  step=  60,744  2 eps: CoacA:2L  ret=   3.10  len=  824  WR[warming up...]
  step=  61,320  1 eps: Light:1L  ret=  32.00  len=  875  WR[warming up...]
  step=  62,784  1 eps: CoacA:1L  ret=  30.00  len=  892  WR[warming up...]
  step=  63,600  1 eps: Light:1L  ret=  33.00  len=  875  WR[warming up...]
  step=  64,800  1 eps: Worke:1L  ret=  12.00  len=  590  WR[warming up...]
  step=  65,064  1 eps: Mayar:1L  ret=  68.00  len= 1196  WR[warming up...]
  step=  66,000  1 eps: CoacA:1L  ret=  -0.80  len=  877  WR[warming up...]
  step=  66,336  1 eps: Mayar:1L  ret=  41.00  len=  970  WR[warming up...]
  step=  67,032  1 eps: Mayar:1L  ret=  -4.80  len=  775  WR[warming up...]
  step=  67,584  1 eps: Mayar:1L  ret=  39.00  len=  967  WR[warming up...]
