
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_baseline_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_baseline_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_baseline_s3/config.json

  step=  13,440  1 eps: POWor:1L P0  ret=  12.00  len=  560  WR[warming up...]
  step=  16,320  1 eps: POLig:1L P0  ret=  -5.80  len=  680  WR[warming up...]
  step=  17,112  1 eps: Mayar:1L P0  ret=  -9.80  len=  713  WR[warming up...]
  step=  18,600  1 eps: Mayar:1L P0  ret=  -4.80  len=  775  WR[warming up...]
  step=  18,624  1 eps: CoacA:1L P0  ret=  -6.80  len=  776  WR[warming up...]
  step=  18,864  1 eps: Mayar:1L P0  ret=  -5.80  len=  786  WR[warming up...]
  step=  20,040  1 eps: POWor:1L P0  ret=  24.00  len=  835  WR[warming up...]
  step=  21,120  1 eps: CoacA:1L P0  ret=  11.00  len=  880  WR[warming up...]
  step=  21,264  1 eps: Mayar:1L P0  ret=   9.00  len=  886  WR[warming up...]
  step=  21,384  1 eps: CoacA:1L P0  ret=  20.00  len=  891  WR[warming up...]
  step=  21,552  1 eps: CoacA:1L P0  ret=  13.00  len=  898  WR[warming up...]
  step=  21,720  1 eps: Mayar:1L P0  ret=   8.00  len=  905  WR[warming up...]
  step=  22,488  1 eps: Mayar:1L P0  ret=  20.00  len=  937  WR[warming up...]
  step=  22,680  1 eps: CoacA:1L P0  ret=  32.00  len=  945  WR[warming up...]
  step=  22,872  2 eps: CoacA:1L P0 Mayar:1L P0  ret=  13.50  len=  953  WR[warming up...]
  step=  23,328  1 eps: CoacA:1L P0  ret=   8.00  len=  972  WR[warming up...]
  step=  23,592  1 eps: Mayar:1L P0  ret=  37.00  len=  983  WR[warming up...]
  step=  23,928  1 eps: CoacA:1L P0  ret=  30.00  len=  997  WR[warming up...]
  step=  24,048  1 eps: CoacA:1L P0  ret=  22.00  len= 1002  WR[warming up...]
  step=  24,144  1 eps: POLig:1L P0  ret=  40.00  len= 1006  WR[warming up...]
  step=  28,680  1 eps: Mayar:1L P0  ret=  38.00  len= 1195  WR[warming up...]
  step=  29,880  1 eps: POWor:1L P1  ret=  12.00  len=  685  WR[warming up...]
  step=  32,160  1 eps: POWor:1L P1  ret=  11.00  len=  505  WR[warming up...]
