
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_buildtime_rewards_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 6.0, 5.25, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_buildtime_rewards_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_buildtime_rewards_s2/config.json

  step=  15,840  1 eps: POWor:1L P0  ret=  19.00  len=  660  WR[warming up...]
  step=  18,360  1 eps: POWor:1L P0  ret=  17.00  len=  765  WR[warming up...]
  step=  18,648  1 eps: Mayar:1L P0  ret=  -3.80  len=  777  WR[warming up...]
  step=  18,768  1 eps: CoacA:1L P0  ret=   1.20  len=  782  WR[warming up...]
  step=  18,936  1 eps: CoacA:1L P0  ret=  12.00  len=  789  WR[warming up...]
  step=  19,416  3 eps: CoacA:2L P0 Mayar:1L P0  ret=  -3.47  len=  809  WR[warming up...]
  step=  19,800  1 eps: CoacA:1L P0  ret=  13.00  len=  825  WR[warming up...]
  step=  20,328  1 eps: CoacA:1L P0  ret=  18.00  len=  847  WR[warming up...]
  step=  20,376  1 eps: Mayar:1L P0  ret=   5.20  len=  849  WR[warming up...]
  step=  20,544  1 eps: Mayar:1L P0  ret=  -6.80  len=  856  WR[warming up...]
  step=  20,736  1 eps: CoacA:1L P0  ret=  15.00  len=  864  WR[warming up...]
  step=  20,976  1 eps: Mayar:1L P0  ret=  19.00  len=  874  WR[warming up...]
  step=  21,264  1 eps: CoacA:1L P0  ret=  12.00  len=  886  WR[warming up...]
  step=  21,720  2 eps: CoacA:1L P0 POLig:1L P0  ret=  21.00  len=  905  WR[warming up...]
