
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     framestack4_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,771,211 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  Frame stack:  4 frames
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/framestack4_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/framestack4_s3/config.json

  step=  13,080  1 eps: Worke:1L P0  ret=  11.00  len=  545  WR[warming up...]
  step=  17,328  1 eps: Light:1L P0  ret=  -5.80  len=  722  WR[warming up...]
  step=  18,504  1 eps: Mayar:1L P0  ret=  -5.80  len=  771  WR[warming up...]
  step=  18,960  1 eps: CoacA:1L P0  ret=  14.00  len=  790  WR[warming up...]
  step=  19,080  1 eps: CoacA:1L P0  ret=  -6.80  len=  795  WR[warming up...]
  step=  19,752  1 eps: Mayar:1L P0  ret=  -3.80  len=  823  WR[warming up...]
  step=  20,040  1 eps: Mayar:1L P0  ret=  -8.80  len=  835  WR[warming up...]
  step=  20,256  1 eps: CoacA:1L P0  ret=  10.00  len=  844  WR[warming up...]
  step=  20,448  1 eps: CoacA:1L P0  ret=  17.00  len=  852  WR[warming up...]
  step=  20,472  1 eps: Mayar:1L P0  ret=  10.00  len=  853  WR[warming up...]
  step=  20,688  1 eps: CoacA:1L P0  ret=   7.00  len=  862  WR[warming up...]
  step=  20,808  1 eps: CoacA:1L P0  ret=  17.00  len=  867  WR[warming up...]
  step=  21,360  1 eps: CoacA:1L P0  ret=  13.00  len=  890  WR[warming up...]
  step=  21,600  1 eps: Light:1L P0  ret=  37.00  len=  900  WR[warming up...]
  step=  21,672  1 eps: CoacA:1L P0  ret=  13.00  len=  903  WR[warming up...]
  step=  21,840  1 eps: CoacA:1L P0  ret=  13.00  len=  910  WR[warming up...]
  step=  22,128  1 eps: Mayar:1L P0  ret=  13.00  len=  922  WR[warming up...]
  step=  22,560  1 eps: Worke:1L P0  ret=  43.00  len=  940  WR[warming up...]
  step=  22,680  1 eps: Mayar:1L P0  ret=   8.00  len=  945  WR[warming up...]
  step=  22,704  1 eps: Mayar:1L P0  ret=  25.00  len=  946  WR[warming up...]
  step=  22,752  1 eps: Mayar:1L P0  ret=  11.00  len=  948  WR[warming up...]
  step=  25,872  1 eps: Mayar:1L P0  ret=  21.00  len= 1078  WR[warming up...]
  step=  26,640  1 eps: Worke:1L P1  ret=   7.00  len=  565  WR[warming up...]
  step=  35,040  1 eps: Worke:1L P0  ret=  -6.80  len=  350  WR[warming up...]
  step=  36,264  1 eps: Light:1L P1  ret=   8.20  len=  789  WR[warming up...]
  step=  37,080  1 eps: Worke:1L P1  ret=  22.00  len=  605  WR[warming up...]
  step=  37,128  1 eps: CoacA:1L P1  ret=  18.00  len=  752  WR[warming up...]
  step=  38,160  1 eps: CoacA:1L P1  ret=  -9.80  len=  728  WR[warming up...]
  step=  38,448  1 eps: CoacA:1L P1  ret=  22.00  len=  758  WR[warming up...]
  step=  38,520  1 eps: CoacA:1L P1  ret=  -8.80  len=  753  WR[warming up...]
  step=  38,976  1 eps: Mayar:1L P1  ret=  -1.80  len=  789  WR[warming up...]
  step=  39,024  1 eps: CoacA:1L P1  ret=  11.00  len=  836  WR[warming up...]
  step=  39,240  1 eps: CoacA:1L P1  ret=   2.20  len=  745  WR[warming up...]
  step=  40,608  1 eps: CoacA:1L P1  ret=   6.20  len=  789  WR[warming up...]
  step=  42,048  1 eps: Mayar:1L P1  ret=  38.00  len=  929  WR[warming up...]
  step=  42,312  1 eps: Mayar:1L P1  ret=  30.00  len=  910  WR[warming up...]
  step=  42,552  1 eps: Light:1L P1  ret=  21.00  len=  873  WR[warming up...]
  step=  43,392  1 eps: CoacA:1L P1  ret=  16.00  len=  941  WR[warming up...]
  step=  43,560  1 eps: CoacA:1L P1  ret=  -1.00  len=  905  WR[warming up...]
  step=  43,728  1 eps: Mayar:1L P1  ret=  17.20  len=  877  WR[warming up...]
  step=  45,384  1 eps: Mayar:1L P1  ret=  20.00  len=  969  WR[warming up...]
  step=  45,600  1 eps: Mayar:1L P1  ret=  49.00  len= 1129  WR[warming up...]
  step=  47,352  1 eps: Mayar:1L P1  ret=  28.00  len= 1025  WR[warming up...]
  step=  48,840  1 eps: Mayar:1L P1  ret=  34.00  len= 1089  WR[warming up...]
