
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_opponent_modeling_s1
  Seed:         1
  Architecture: unet_entity_cbam_deep (channels=48) (4,733,033 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Aux task:     opponent_modeling (coef=0.01)
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_opponent_modeling_s1
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_opponent_modeling_s1/config.json

  step=  16,440  1 eps: POWor:1L  ret=  21.00  len=  685  WR[warming up...]
  step=  17,064  1 eps: POLig:1L  ret=   0.00  len=  711  WR[warming up...]
  step=  17,520  1 eps: POWor:1L  ret=  24.00  len=  730  WR[warming up...]
  step=  17,544  1 eps: Mayar:1L  ret=  -5.80  len=  731  WR[warming up...]
  step=  18,840  1 eps: CoacA:1L  ret=  -5.80  len=  785  WR[warming up...]
  step=  19,080  1 eps: CoacA:1L  ret=   1.20  len=  795  WR[warming up...]
  step=  19,200  1 eps: CoacA:1L  ret=  15.00  len=  800  WR[warming up...]
  step=  19,440  1 eps: CoacA:1L  ret=  -8.80  len=  810  WR[warming up...]
  step=  19,728  1 eps: CoacA:1L  ret=   8.00  len=  822  WR[warming up...]
  step=  20,352  1 eps: Mayar:1L  ret=   1.20  len=  848  WR[warming up...]
  step=  21,672  1 eps: POLig:1L  ret=   8.00  len=  903  WR[warming up...]
  step=  22,152  1 eps: CoacA:1L  ret=  17.00  len=  923  WR[warming up...]
  step=  22,824  1 eps: CoacA:1L  ret=  31.00  len=  951  WR[warming up...]
  step=  23,040  1 eps: Mayar:1L  ret=  22.00  len=  960  WR[warming up...]
  step=  23,136  1 eps: Mayar:1L  ret=  26.00  len=  964  WR[warming up...]
  step=  23,424  1 eps: Mayar:1L  ret=  30.00  len=  976  WR[warming up...]
