
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     pae_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  PAE:          keep first 486/512 steps (95%)
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s2/config.json

  step=  15,840  1 eps: Worke:1L  ret=  18.00  len=  660  WR[warming up...]
  step=  16,800  1 eps: Worke:1L  ret=  14.00  len=  700  WR[warming up...]
  step=  17,880  1 eps: Mayar:1L  ret=  -4.80  len=  745  WR[warming up...]
  step=  18,096  1 eps: CoacA:1L  ret=  12.00  len=  754  WR[warming up...]
  step=  18,432  1 eps: Mayar:1L  ret=   1.20  len=  768  WR[warming up...]
  step=  19,176  1 eps: Mayar:1L  ret=   6.20  len=  799  WR[warming up...]
  step=  19,320  1 eps: CoacA:1L  ret=  -5.80  len=  805  WR[warming up...]
  step=  19,368  1 eps: CoacA:1L  ret=   0.20  len=  807  WR[warming up...]
  step=  19,416  2 eps: CoacA:2L  ret=   3.60  len=  809  WR[warming up...]
  step=  19,560  1 eps: CoacA:1L  ret=  10.00  len=  815  WR[warming up...]
  step=  20,592  1 eps: Light:1L  ret=  34.00  len=  858  WR[warming up...]
  step=  20,688  1 eps: CoacA:1L  ret=  14.00  len=  862  WR[warming up...]
  step=  21,384  1 eps: Mayar:1L  ret=  21.00  len=  891  WR[warming up...]
  step=  21,480  1 eps: Light:1L  ret=  21.00  len=  895  WR[warming up...]
  step=  21,504  1 eps: Mayar:1L  ret=  -4.80  len=  896  WR[warming up...]
  step=  21,816  1 eps: Mayar:1L  ret=  10.00  len=  909  WR[warming up...]
  step=  21,864  1 eps: CoacA:1L  ret=  17.00  len=  911  WR[warming up...]
  step=  23,232  1 eps: CoacA:1L  ret=  18.00  len=  968  WR[warming up...]
  step=  23,256  1 eps: Mayar:1L  ret=  18.00  len=  969  WR[warming up...]
  step=  23,832  1 eps: Mayar:1L  ret=  23.00  len=  993  WR[warming up...]
  step=  24,480  1 eps: Worke:1L  ret=  -3.80  len=  360  WR[warming up...]
  step=  25,176  1 eps: Mayar:1L  ret=  40.00  len= 1049  WR[warming up...]
  step=  36,600  1 eps: Worke:1L  ret=  16.00  len=  825  WR[warming up...]
  step=  37,128  1 eps: Light:1L  ret=  -7.80  len=  652  WR[warming up...]
  step=  37,560  1 eps: Light:1L  ret=  12.20  len=  707  WR[warming up...]
  step=  37,776  1 eps: CoacA:1L  ret=  18.00  len=  765  WR[warming up...]
  step=  39,096  1 eps: CoacA:1L  ret=   4.20  len=  820  WR[warming up...]
  step=  39,216  1 eps: CoacA:1L  ret=  26.00  len=  829  WR[warming up...]
  step=  39,384  1 eps: CoacA:1L  ret=  -2.80  len=  730  WR[warming up...]
  step=  39,600  1 eps: Worke:1L  ret=  15.00  len=  630  WR[warming up...]
  step=  39,672  1 eps: CoacA:1L  ret=  27.00  len=  846  WR[warming up...]
  step=  39,840  1 eps: CoacA:1L  ret=  26.00  len=  906  WR[warming up...]
  step=  40,008  1 eps: CoacA:1L  ret=   6.00  len=  805  WR[warming up...]
  step=  40,776  1 eps: CoacA:1L  ret=  16.00  len=  884  WR[warming up...]
  step=  41,016  1 eps: CoacA:1L  ret=  -0.80  len=  741  WR[warming up...]
  step=  41,304  1 eps: Mayar:1L  ret=   2.00  len=  953  WR[warming up...]
  step=  41,376  1 eps: Mayar:1L  ret=   8.00  len=  833  WR[warming up...]
  step=  41,544  1 eps: Mayar:1L  ret=  18.20  len=  835  WR[warming up...]
  step=  42,600  1 eps: Mayar:1L  ret=   6.20  len=  806  WR[warming up...]
  step=  43,992  1 eps: Mayar:1L  ret=  37.00  len= 1034  WR[warming up...]
  step=  44,880  1 eps: Mayar:1L  ret=  46.00  len= 1125  WR[warming up...]
  step=  47,544  1 eps: Mayar:1L  ret=  30.00  len= 1072  WR[warming up...]
  step=  48,192  1 eps: Mayar:1L  ret=  25.00  len= 1015  WR[warming up...]
  step=  49,104  1 eps: Mayar:1L  ret=  24.00  len=  997  WR[warming up...]
  step=  52,200  1 eps: Worke:1L  ret=  19.20  len=  650  WR[warming up...]
  step=  53,376  1 eps: Light:1L  ret=  -3.80  len=  659  WR[warming up...]
  step=  53,880  1 eps: Worke:1L  ret=   7.00  len=  595  WR[warming up...]
  step=  57,720  1 eps: CoacA:1L  ret=  -5.80  len=  771  WR[warming up...]
  step=  57,984  2 eps: CoacA:2L  ret=  -2.80  len=  769  WR[warming up...]
  step=  58,536  1 eps: CoacA:1L  ret=  -5.80  len=  810  WR[warming up...]
  step=  59,856  1 eps: Light:1L  ret=  38.00  len=  947  WR[warming up...]
  step=  60,720  1 eps: CoacA:1L  ret=  30.00  len=  956  WR[warming up...]
  step=  60,888  1 eps: CoacA:1L  ret=   2.20  len=  828  WR[warming up...]
  step=  60,936  1 eps: Mayar:1L  ret=   4.20  len=  808  WR[warming up...]
  step=  62,040  1 eps: Mayar:1L  ret=  -0.80  len=  861  WR[warming up...]
  step=  62,304  1 eps: CoacA:1L  ret=  43.00  len=  929  WR[warming up...]
  step=  62,832  1 eps: CoacA:1L  ret=  30.00  len=  958  WR[warming up...]
  step=  63,720  1 eps: CoacA:1L  ret=  32.00  len=  956  WR[warming up...]
