
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     pae_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  PAE:          keep first 486/512 steps (95%)
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s3/config.json

  step=  13,440  1 eps: Worke:1L P0  ret=  11.00  len=  560  WR[warming up...]
  step=  16,200  1 eps: Light:1L P0  ret=  -5.80  len=  675  WR[warming up...]
  step=  18,744  1 eps: CoacA:1L P0  ret=  -5.80  len=  781  WR[warming up...]
  step=  18,864  1 eps: Mayar:1L P0  ret=  -5.80  len=  786  WR[warming up...]
  step=  19,440  1 eps: Worke:1L P0  ret=  22.00  len=  810  WR[warming up...]
  step=  19,464  1 eps: Mayar:1L P0  ret=  -2.80  len=  811  WR[warming up...]
  step=  20,040  1 eps: Mayar:1L P0  ret=  -8.80  len=  835  WR[warming up...]
  step=  20,928  1 eps: Mayar:1L P0  ret=  10.00  len=  872  WR[warming up...]
  step=  21,048  1 eps: CoacA:1L P0  ret=  26.00  len=  877  WR[warming up...]
  step=  21,600  1 eps: CoacA:1L P0  ret=  26.00  len=  900  WR[warming up...]
  step=  22,080  1 eps: Light:1L P0  ret=  41.00  len=  920  WR[warming up...]
  step=  22,368  1 eps: CoacA:1L P0  ret=  31.00  len=  932  WR[warming up...]
  step=  22,584  1 eps: Mayar:1L P0  ret=  17.00  len=  941  WR[warming up...]
  step=  22,632  1 eps: CoacA:1L P0  ret=   3.00  len=  943  WR[warming up...]
  step=  22,824  2 eps: CoacA:1L P0 Mayar:1L P0  ret=   9.50  len=  951  WR[warming up...]
  step=  22,848  1 eps: CoacA:1L P0  ret=  13.00  len=  952  WR[warming up...]
  step=  23,160  1 eps: CoacA:1L P0  ret=   9.00  len=  965  WR[warming up...]
  step=  23,880  1 eps: CoacA:1L P0  ret=  21.00  len=  995  WR[warming up...]
  step=  24,192  1 eps: Mayar:1L P0  ret=  12.00  len= 1008  WR[warming up...]
  step=  25,680  1 eps: Worke:1L P1  ret=  -1.80  len=  510  WR[warming up...]
  step=  25,776  1 eps: Mayar:1L P0  ret=  40.00  len= 1074  WR[warming up...]
  step=  29,760  1 eps: Mayar:1L P0  ret=  37.00  len= 1240  WR[warming up...]
