
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     spp_critic_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) [SPP-critic] (4,804,411 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/spp_critic_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/spp_critic_s2/config.json

  step=  17,640  1 eps: Worke:1L  ret=  16.00  len=  735  WR[warming up...]
  step=  17,784  1 eps: Mayar:1L  ret=  -4.80  len=  741  WR[warming up...]
  step=  18,672  1 eps: Mayar:1L  ret=   1.20  len=  778  WR[warming up...]
  step=  18,960  1 eps: Worke:1L  ret=  22.00  len=  790  WR[warming up...]
  step=  19,056  1 eps: Mayar:1L  ret=   3.20  len=  794  WR[warming up...]
  step=  19,800  1 eps: Mayar:1L  ret=  -5.80  len=  825  WR[warming up...]
  step=  20,064  1 eps: CoacA:1L  ret=  -6.80  len=  836  WR[warming up...]
  step=  20,208  1 eps: CoacA:1L  ret=   0.20  len=  842  WR[warming up...]
  step=  20,232  1 eps: CoacA:1L  ret=  -5.80  len=  843  WR[warming up...]
  step=  21,624  1 eps: CoacA:1L  ret=   7.00  len=  901  WR[warming up...]
  step=  21,696  1 eps: Mayar:1L  ret=   8.00  len=  904  WR[warming up...]
  step=  21,720  1 eps: Mayar:1L  ret=  21.00  len=  905  WR[warming up...]
  step=  21,768  1 eps: CoacA:1L  ret=  14.00  len=  907  WR[warming up...]
  step=  22,128  1 eps: CoacA:1L  ret=   6.00  len=  922  WR[warming up...]
  step=  22,344  2 eps: CoacA:2L  ret=  12.00  len=  931  WR[warming up...]
