tournaments.RoundRobinTournament
AIs
	multimap_small_200M_s1
	BestRL-350M
	RandomBiasedAI
	POLightRush
	POWorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers8x8A.xml	maxGameLength=3000
	maps/open_competition/FourBasesWorkers8x8.xml	maxGameLength=3000
	maps/open_competition/NoWhereToRun9x8.xml	maxGameLength=4000
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
	maps/open_competition/TwoBasesBarracks16x16.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	0	11	9	285	1	-1	-1	22359907	3080908805
1	0	11	9	285	1	-1	-1	6184198	3076085177
2	0	11	9	285	1	-1	-1	5647606	3080706442
3	0	11	9	285	1	-1	-1	5210849	3079803543
4	0	11	9	285	1	-1	-1	4854639	3081507920
0	2	10	8	1160	1	-1	-1	10396246603	20766681021
1	2	10	8	960	1	-1	-1	8272717671	17167380859
2	2	10	8	945	1	-1	-1	8667872695	11045583286
3	2	10	8	915	1	-1	-1	8379965653	12399383961
4	2	10	8	985	1	-1	-1	9471287284	14029685959
0	3	4	6	860	1	-1	-1	17801784	64003126
1	3	4	6	860	1	-1	-1	10749682	53627725
2	3	4	6	860	1	-1	-1	4366432	16910134
3	3	4	6	860	1	-1	-1	3907018	13691398
4	3	4	6	860	1	-1	-1	3732591	13312358
0	1	1	5	235	0	-1	-1	3749539766	7774513031
1	1	1	5	375	0	-1	-1	6953932093	9897126969
2	1	1	5	446	0	-1	-1	10657280704	9298066425
3	1	1	5	375	0	-1	-1	6953932093	11094036048
4	1	1	5	355	0	-1	-1	5946016691	13476533136
0	1	14	13	336	0	-1	-1	4289029566	14733656
1	1	14	13	343	0	-1	-1	4328277677	9124200
2	1	14	13	395	0	-1	-1	4697560280	6952761
3	1	14	13	340	0	-1	-1	3923495307	5439849
4	1	14	13	373	0	-1	-1	4318822180	9702107
0	2	8	4	905	0	-1	-1	12796174457	7397039
1	2	8	4	980	0	-1	-1	13403357124	6530442
2	2	8	4	910	0	-1	-1	14134529810	4424463
3	2	8	4	860	0	-1	-1	12975683271	3529793
4	2	8	4	905	0	-1	-1	13175369449	3580992
0	0	11	13	305	1	-1	-1	7163589	5181537
1	0	11	13	295	1	-1	-1	3036744	3262696
2	0	11	13	470	1	-1	-1	7124278	3322225
3	0	11	13	295	1	-1	-1	1670804	1163486
4	0	11	13	295	1	-1	-1	1560194	897652
0	3	13	12	865	0	-1	-1	468954512	61292223077
1	3	13	12	905	0	-1	-1	493565732	61807830576
2	3	13	12	865	0	-1	-1	398665518	59416748584
3	3	13	12	915	0	-1	-1	359972188	63702916734
4	3	13	12	975	0	-1	-1	483962478	58964996838
0	2	12	9	1325	1	-1	-1	95638559702	19767008606
1	2	12	9	1365	1	-1	-1	98430666130	18833906101
2	2	12	9	1170	1	-1	-1	88491427240	16576069833
3	2	12	9	1415	1	-1	-1	92544984602	19211934448
4	2	12	9	1350	1	-1	-1	86609482781	20132481299
0	3	0	9	1135	1	-1	-1	30962875871	30221796595
1	3	0	9	1160	1	-1	-1	31857371469	29636709580
2	3	0	9	1019	1	-1	-1	25934265794	24535638986
3	3	0	9	995	1	-1	-1	24433245318	23608600012
4	3	0	9	845	0	-1	-1	21532318641	11549594203
0	4	7	1	544	1	-1	-1	124046847	21388144551
1	4	7	1	575	1	-1	-1	116179190	22945699624
2	4	7	1	549	1	-1	-1	81637751	21984720791
3	4	7	1	535	1	-1	-1	57467642	20686823786
4	4	7	1	965	1	-1	-1	92100972	78160924867
0	4	3	4	528	0	-1	-1	16069015	5878490
1	4	3	4	528	0	-1	-1	7608327	3911455
2	4	3	4	528	0	-1	-1	4320184	2432101
3	4	3	4	528	0	-1	-1	3857283	1962053
4	4	3	4	528	0	-1	-1	3690551	1852742
0	1	10	4	340	1	-1	-1	6258891109	6978139
1	1	10	4	550	0	-1	-1	9478262241	6366246
2	1	10	4	235	1	-1	-1	3493915210	2293751
3	1	10	4	320	1	-1	-1	4794398422	2927661
4	1	10	4	350	1	-1	-1	5890825254	2422219
0	2	11	9	935	1	-1	-1	17974619	11169738125
1	2	11	9	650	1	-1	-1	6461190	6672068549
2	2	11	9	805	1	-1	-1	8313346	10292816113
3	2	11	9	705	1	-1	-1	6515189	7731175178
4	2	11	9	745	1	-1	-1	5485054	9016768878
0	4	11	13	1044	0	-1	-1	377958821	800406961
1	4	11	13	427	0	-1	-1	113404631	152355413
2	4	11	13	698	0	-1	-1	244522373	306820411
3	4	11	13	755	0	-1	-1	285698585	298948468
4	4	11	13	935	0	-1	-1	441079722	368594921
0	3	11	13	872	1	-1	-1	87480036	521823162
1	3	11	13	2287	1	-1	-1	301396907	2053284718
2	3	11	13	1050	1	-1	-1	100828046	548388734
3	3	11	13	858	1	-1	-1	81562542	421636456
4	3	11	13	1175	1	-1	-1	93279200	489419214
0	3	14	13	545	0	-1	-1	6856974132	181652876
1	3	14	13	576	0	-1	-1	7208707653	206769563
2	3	14	13	505	0	-1	-1	5717549002	107550670
3	3	14	13	546	0	-1	-1	6102131759	130563783
4	3	14	13	557	0	-1	-1	6212851529	111762992
0	0	13	12	465	0	-1	-1	125718609	42630059281
1	0	13	12	285	0	-1	-1	72728539	25610771190
2	0	13	12	525	0	-1	-1	125348468	47964699029
3	0	13	12	415	0	-1	-1	89156836	37105928053
4	0	13	12	535	0	-1	-1	118576781	47113406831
0	0	10	12	1225	1	-1	-1	17636976624	121837835264
1	0	10	12	1015	0	-1	-1	11183815855	97468658785
2	0	10	12	285	0	-1	-1	3196557535	24825398692
3	0	10	12	935	1	-1	-1	9587141564	92593072425
4	0	10	12	515	0	-1	-1	6689415868	44707471523
0	3	10	4	1405	1	-1	-1	14640508371	16900893
1	3	10	4	3590	0	-1	-1	42757564451	35074487
2	3	10	4	3300	0	-1	-1	40197717469	23472947
3	3	10	4	3650	0	-1	-1	40610090642	16391451
4	3	10	4	2275	1	-1	-1	23863876492	11279967
0	2	6	7	885	0	-1	-1	101227794	33813193
1	2	6	7	865	0	-1	-1	74556532	30144506
2	2	6	7	4000	-1	-1	-1	342716206	123783405
3	2	6	7	1052	0	-1	-1	55844325	16841057
4	2	6	7	885	0	-1	-1	34288240	13355879
0	2	3	0	1031	1	-1	-1	7720485	42393455530
1	2	3	0	1031	1	-1	-1	2059784	42393455530
