tournaments.RoundRobinTournament
AIs
	UECD-MultiMap
	UECD-SingleMap-Best
	RandomBiasedAI
	LightRush
	WorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers8x8A.xml	maxGameLength=3000
	maps/open_competition/FourBasesWorkers8x8.xml	maxGameLength=3000
	maps/open_competition/NoWhereToRun9x8.xml	maxGameLength=4000
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
	maps/open_competition/TwoBasesBarracks16x16.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	0	4	13	885	1	-1	-1	23015342	285374242
1	0	4	13	885	1	-1	-1	12462804	256683848
2	0	4	13	885	1	-1	-1	5105133	163707663
3	0	4	13	885	1	-1	-1	4292434	146487406
4	0	4	13	885	1	-1	-1	4040305	146923476
0	0	3	11	300	1	-1	-1	7038699	13630333
1	0	3	11	305	1	-1	-1	4611672	7608924
2	0	3	11	300	1	-1	-1	1572163	4216025
3	0	3	11	300	1	-1	-1	962033	4016855
4	0	3	11	305	1	-1	-1	977557	4098464
0	1	12	8	1175	1	-1	-1	104496748836	15797620326
1	1	12	8	1785	0	-1	-1	178007321486	24440005985
2	1	12	8	395	1	-1	-1	34031160544	5937600398
3	1	12	8	1500	0	-1	-1	149541813975	18155752196
4	1	12	8	1195	0	-1	-1	115148223721	12879505907
0	4	0	14	651	1	-1	-1	18380982347	11214965318
1	4	0	14	623	1	-1	-1	17682425267	9579177861
2	4	0	14	626	1	-1	-1	17775556461	7191317391
3	4	0	14	580	1	-1	-1	16965260007	6582519969
4	4	0	14	780	0	-1	-1	34396188822	8857525357
0	1	15	4	220	0	-1	-1	115909195	1673737
1	1	15	4	220	0	-1	-1	128233223	1991267
2	1	15	4	220	0	-1	-1	111241366	1088611
3	1	15	4	220	0	-1	-1	101300558	969674
4	1	15	4	220	0	-1	-1	96257856	914028
0	4	0	3	806	1	-1	-1	8756287353	11834142
1	4	0	3	806	1	-1	-1	8756287353	4643768
2	4	0	3	806	1	-1	-1	8756287353	3692014
3	4	0	3	806	1	-1	-1	8756287353	3468689
4	4	0	3	806	1	-1	-1	8756287353	3272354
0	4	5	1	1236	1	-1	-1	19572160715	17686809924
1	4	5	1	1077	1	-1	-1	17277429015	14208448663
2	4	5	1	4000	-1	-1	-1	43017841268	245406144485
3	4	5	1	635	1	-1	-1	6800306249	7390651967
4	4	5	1	795	1	-1	-1	10300261035	8997885482
0	0	12	15	3000	-1	-1	-1	51476423020	1130351783
1	0	12	15	325	1	-1	-1	23382208701	127875871
2	0	12	15	870	0	-1	-1	24329471644	329354712
3	0	12	15	485	0	-1	-1	15677345465	160614539
4	0	12	15	535	1	-1	-1	20006505456	168948855
0	3	7	10	998	0	-1	-1	115637409	10474610351
1	3	7	10	1065	0	-1	-1	98070004	11059102548
2	3	7	10	978	0	-1	-1	62544357	9466571131
3	3	7	10	1280	0	-1	-1	102477811	15549080121
4	3	7	10	1105	0	-1	-1	74090994	11754250469
0	3	6	15	1005	0	-1	-1	106146703	513844740
