tournaments.RoundRobinTournament
AIs
	UECD-Best
	UECD-Rushed
	GridNet
	UECD-TopFeats
	UECD-AllFeats
	RandomBiasedAI
	LightRush
	WorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	0	16	18	700	0	-1	-1	28305278	672189849
1	0	16	18	699	0	-1	-1	24340080	715939530
2	0	16	18	650	0	-1	-1	10235778	651580101
3	0	16	18	700	0	-1	-1	10068175	671319750
4	0	16	18	700	0	-1	-1	11616482	678489056
0	0	16	12	960	0	-1	-1	53846132	13384783542
1	0	16	12	821	0	-1	-1	16369986	10962598758
2	0	16	12	1061	0	-1	-1	55571023	16317594583
3	0	16	12	2421	1	-1	-1	95462085	50443380352
4	0	16	12	1153	0	-1	-1	23868201	16930828935
0	0	11	17	705	1	-1	-1	10457459077	17372342260
1	0	11	17	545	1	-1	-1	5351238040	13893878378
2	0	11	17	675	1	-1	-1	10898659753	16493597928
3	0	11	17	553	1	-1	-1	7089560887	13685582918
4	0	11	17	546	1	-1	-1	5718370079	13463595942
0	0	6	8	1883	0	-1	-1	132005660	83923440198
1	0	6	8	1388	0	-1	-1	26637663	76251001195
2	0	6	8	1203	0	-1	-1	21331526	64997595386
3	0	6	8	1589	0	-1	-1	30177663	86018868119
4	0	6	8	3605	0	-1	-1	80144573	213895057610
0	0	17	10	549	0	-1	-1	10655490733	59947631
1	0	17	10	619	0	-1	-1	13309912316	71594989
2	0	17	10	597	0	-1	-1	11905704499	53082522
3	0	17	10	701	0	-1	-1	14818699625	68430592
4	0	17	10	603	0	-1	-1	11969698810	48804572
0	0	8	10	1405	1	-1	-1	24862852064	236749351
1	0	8	10	1787	1	-1	-1	30157957102	415389069
2	0	8	10	1285	1	-1	-1	22661778580	244946759
3	0	8	10	1305	1	-1	-1	27154841201	210791387
4	0	8	10	1265	1	-1	-1	28840921372	194863722
0	0	2	7	868	0	-1	-1	749598788	11857577
1	0	2	7	868	0	-1	-1	749598788	5808628
2	0	2	7	868	0	-1	-1	749598788	4750491
3	0	2	7	868	0	-1	-1	749598788	4378301
4	0	2	7	868	0	-1	-1	749598788	4387595
0	0	11	3	1120	1	-1	-1	13520206618	15060848403
1	0	11	3	1130	1	-1	-1	15216361564	15483515249
2	0	11	3	1125	1	-1	-1	13060112494	15155335906
3	0	11	3	1120	1	-1	-1	15735835570	15060848403
4	0	11	3	1120	1	-1	-1	12502898814	15060848403
0	0	14	8	802	0	-1	-1	223413015	58160819470
1	0	14	8	1275	0	-1	-1	315486782	84856216878
2	0	14	8	1875	0	-1	-1	515765092	128309813308
3	0	14	8	2645	0	-1	-1	590573345	211972562733
4	0	14	8	1855	0	-1	-1	507466215	125489077828
0	0	5	2	4000	-1	-1	-1	4489413	4529546377
1	0	5	2	2980	0	-1	-1	4507516	2703195663
2	0	5	2	3255	0	-1	-1	4351063	3001177812
3	0	5	2	4000	-1	-1	-1	5365954	4529546377
4	0	5	2	3600	0	-1	-1	3509397	3544534660
0	0	10	14	1515	1	-1	-1	219986133	393425359
1	0	10	14	1541	0	-1	-1	160488196	290566548
2	0	10	14	1307	1	-1	-1	282249852	248385333
3	0	10	14	864	1	-1	-1	131123396	151150724
4	0	10	14	1400	1	-1	-1	90441691	266352613
0	0	1	3	1217	1	-1	-1	15062247351	11303587006
1	0	1	3	1217	1	-1	-1	15062247351	11303587006
2	0	1	3	1217	1	-1	-1	15062247351	11303587006
3	0	1	3	1217	1	-1	-1	15062247351	11303587006
4	0	1	3	1217	1	-1	-1	15062247351	11303587006
