tournaments.RoundRobinTournament
AIs
	UECD-Best
	UECD-Rushed
	GridNet
	UECD-TopFeats
	UECD-AllFeats
	RandomBiasedAI
	POLightRush
	POWorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	0	3	9	1176	0	-1	-1	12617884056	215847617
1	0	3	9	945	0	-1	-1	9816201199	57406101
2	0	3	9	1176	0	-1	-1	12617884056	41997927
3	0	3	9	1176	0	-1	-1	12617884056	39448002
4	0	3	9	1176	0	-1	-1	12617884056	46233849
0	0	18	2	595	0	-1	-1	1999110318	547305612
1	0	18	2	595	0	-1	-1	1978219695	547305612
2	0	18	2	595	0	-1	-1	1775563005	547305612
3	0	18	2	595	0	-1	-1	1755217051	547305612
4	0	18	2	595	0	-1	-1	1692755476	547305612
0	0	15	9	915	1	-1	-1	13450739087	95416012
1	0	15	9	900	1	-1	-1	13338954373	72105921
2	0	15	9	815	1	-1	-1	12603332046	34836577
3	0	15	9	925	1	-1	-1	13400633237	40720313
4	0	15	9	1175	1	-1	-1	18220613063	68851683
0	0	13	2	365	0	-1	-1	4093444677	311685040
1	0	13	2	365	0	-1	-1	4098120729	311685040
2	0	13	2	395	0	-1	-1	4396742402	402982741
3	0	13	2	345	0	-1	-1	3898569392	291458772
4	0	13	2	395	0	-1	-1	4399282820	402982741
0	0	18	5	670	0	-1	-1	2905362727	1110665
1	0	18	5	710	0	-1	-1	3007410359	1349545
2	0	18	5	715	0	-1	-1	2954418897	870343
3	0	18	5	650	0	-1	-1	2632516506	701050
4	0	18	5	670	0	-1	-1	2627725856	719933
0	0	7	10	960	1	-1	-1	26680188	121397634
1	0	7	10	1215	1	-1	-1	22253553	154948586
2	0	7	10	1185	0	-1	-1	15361085	75110372
3	0	7	10	725	0	-1	-1	6071476	36284221
4	0	7	10	919	1	-1	-1	6993704	77992331
0	0	4	9	940	0	-1	-1	11729366295	89557892
1	0	4	9	855	0	-1	-1	9121824116	23365295
2	0	4	9	855	0	-1	-1	9121824116	23150657
3	0	4	9	855	0	-1	-1	9121824116	16426252
4	0	4	9	940	0	-1	-1	11729366295	20071945
0	0	9	17	541	1	-1	-1	39727635	10776082879
1	0	9	17	736	1	-1	-1	64653056	14780111297
2	0	9	17	555	1	-1	-1	24269156	10427693885
3	0	9	17	756	1	-1	-1	41503421	14344122396
4	0	9	17	807	1	-1	-1	36704624	15084995519
0	0	13	6	665	0	-1	-1	10784412641	5300266
1	0	13	6	585	0	-1	-1	7884447575	4408437
2	0	13	6	415	0	-1	-1	4692717536	1752236
3	0	13	6	395	0	-1	-1	4786575693	1473355
4	0	13	6	430	0	-1	-1	5379752820	1640055
0	0	11	6	1045	0	-1	-1	23537804827	9543487
1	0	11	6	1392	0	-1	-1	31699715804	11714058
2	0	11	6	975	0	-1	-1	19966978370	5662177
3	0	11	6	875	0	-1	-1	16976218576	4790598
4	0	11	6	1138	0	-1	-1	21986312969	6666715
0	0	6	11	1047	1	-1	-1	41542787	20588110904
1	0	6	11	1220	1	-1	-1	21736241	25803668885
2	0	6	11	1445	1	-1	-1	23354530	33509223850
3	0	6	11	951	1	-1	-1	7218864	20876113142
4	0	6	11	1645	1	-1	-1	19300462	39354026415
0	0	2	9	1040	0	-1	-1	927773216	70491017
1	0	2	9	1087	0	-1	-1	1034862201	16778747
2	0	2	9	1040	0	-1	-1	927773216	12781400
3	0	2	9	1087	0	-1	-1	1034862201	12179311
4	0	2	9	1040	0	-1	-1	927773216	11168972
0	0	13	15	2455	1	-1	-1	29917570770	231166378560
1	0	13	15	490	0	-1	-1	5489185934	45444094400
