tournaments.RoundRobinTournament
AIs
	multimap_small_200M_s1
	BestRL-350M
	RandomBiasedAI
	POLightRush
	POWorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers8x8A.xml	maxGameLength=3000
	maps/open_competition/FourBasesWorkers8x8.xml	maxGameLength=3000
	maps/open_competition/NoWhereToRun9x8.xml	maxGameLength=4000
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
	maps/open_competition/TwoBasesBarracks16x16.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	1	2	8	345	1	-1	-1	9770023	5289337167
1	1	2	8	290	1	-1	-1	900890	4471406666
2	1	2	8	350	1	-1	-1	917738	5635907542
3	1	2	8	505	1	-1	-1	3656289	7110604367
4	1	2	8	290	1	-1	-1	683603	4731637376
0	2	0	11	902	0	-1	-1	43640133856	40648755
1	2	0	11	737	0	-1	-1	34819546795	31472040
2	2	0	11	746	0	-1	-1	35222480788	14156746
3	2	0	11	880	1	-1	-1	41070301913	19574962
4	2	0	11	831	0	-1	-1	38334248034	20848781
0	4	12	11	815	1	-1	-1	53825006646	363695665
1	4	12	11	727	1	-1	-1	41651179374	224993037
2	4	12	11	545	1	-1	-1	32274359485	103316422
3	4	12	11	492	1	-1	-1	25654032942	237263849
4	4	12	11	556	1	-1	-1	36233064996	179452598
0	3	12	11	955	1	-1	-1	65588606396	139325557
1	3	12	11	775	1	-1	-1	58126831385	88506024
2	3	12	11	796	1	-1	-1	56429380304	100997913
3	3	12	11	1025	1	-1	-1	78422353043	142242108
4	3	12	11	830	1	-1	-1	60970092525	99274506
0	1	14	5	260	0	-1	-1	3895565346	13467363863
1	1	14	5	347	0	-1	-1	4348211998	13951727870
2	1	14	5	311	0	-1	-1	3579644032	12965420484
3	1	14	5	307	0	-1	-1	3467683183	12164518036
4	1	14	5	252	0	-1	-1	2843211190	15546160990
0	4	5	9	888	1	-1	-1	49904901066	31330558282
