tournaments.RoundRobinTournament
AIs
	UECD-Best
	UECD-Rushed
	GridNet
	UECD-TopFeats
	UECD-AllFeats
	RandomBiasedAI
	POLightRush
	POWorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	0	12	17	486	1	-1	-1	4789099487	12532344958
1	0	12	17	627	1	-1	-1	9497314712	15819148258
2	0	12	17	475	1	-1	-1	4414598231	12436548820
3	0	12	17	679	1	-1	-1	11999946789	16473858853
4	0	12	17	525	1	-1	-1	5693288577	13263577323
0	0	12	14	825	1	-1	-1	12427667545	159280395
1	0	12	14	827	1	-1	-1	12329892921	145925156
2	0	12	14	456	1	-1	-1	4265846376	54541293
3	0	12	14	535	1	-1	-1	5255193902	73192763
4	0	12	14	1196	1	-1	-1	22160535288	234103962
0	0	11	0	835	1	-1	-1	10835207188	8963840909
1	0	11	0	760	1	-1	-1	10396525229	7765505151
2	0	11	0	977	1	-1	-1	13511011522	13845155150
3	0	11	0	915	1	-1	-1	13956902917	10924894779
4	0	11	0	665	1	-1	-1	6546686597	6763859468
0	0	6	17	740	1	-1	-1	20210794	20581965291
1	0	6	17	791	1	-1	-1	12407814	23523962015
2	0	6	17	647	1	-1	-1	7391859	17652906807
3	0	6	17	502	1	-1	-1	6146108	13663422066
4	0	6	17	618	1	-1	-1	6611604	17022009352
0	0	4	18	1820	1	-1	-1	20296937255	3147195493
1	0	4	18	1820	1	-1	-1	20296937255	2806158800
2	0	4	18	1820	1	-1	-1	20296937255	2739039266
3	0	4	18	1820	1	-1	-1	20296937255	2715565743
4	0	4	18	1820	1	-1	-1	20296937255	2692403827
0	0	17	13	654	0	-1	-1	15771913781	6182749585
